pedido_id,protocolo,data_solicitacao,status,motivo,data_encerramento
4001,DEV-2024-000001,2024-02-28T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-03-01T15:00:00+00
4002,DEV-2024-000002,2024-03-17T15:00:00+00,CONCLUIDA,AVARIA,2024-03-19T15:00:00+00
4003,DEV-2024-000003,2024-05-04T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-05-06T15:00:00+00
4004,DEV-2024-000004,2024-05-23T15:00:00+00,CONCLUIDA,ATRASO,2024-05-25T15:00:00+00
4005,DEV-2024-000005,2024-06-12T15:00:00+00,CONCLUIDA,OUTRO,2024-06-14T15:00:00+00
4006,DEV-2024-000006,2024-07-29T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-07-31T15:00:00+00
4007,DEV-2024-000007,2024-08-18T15:00:00+00,CONCLUIDA,AVARIA,2024-08-20T15:00:00+00
4008,DEV-2024-000008,2024-10-05T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-10-07T15:00:00+00
4009,DEV-2024-000009,2024-10-24T15:00:00+00,CONCLUIDA,ATRASO,2024-10-26T15:00:00+00
4010,DEV-2024-000010,2024-11-13T15:00:00+00,CONCLUIDA,OUTRO,2024-11-15T15:00:00+00
4011,DEV-2024-000011,2024-11-30T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-12-02T15:00:00+00
4012,DEV-2024-000012,2024-12-19T15:00:00+00,CONCLUIDA,AVARIA,2024-12-21T15:00:00+00
4013,DEV-2024-000013,2024-02-05T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-02-07T15:00:00+00
4014,DEV-2024-000014,2024-02-25T15:00:00+00,CONCLUIDA,ATRASO,2024-02-27T15:00:00+00
4015,DEV-2024-000015,2024-03-14T15:00:00+00,CONCLUIDA,OUTRO,2024-03-16T15:00:00+00
4016,DEV-2024-000016,2024-05-01T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-05-03T15:00:00+00
4017,DEV-2024-000017,2024-05-20T15:00:00+00,CONCLUIDA,AVARIA,2024-05-22T15:00:00+00
4018,DEV-2024-000018,2024-07-07T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-07-09T15:00:00+00
4019,DEV-2024-000019,2024-07-26T15:00:00+00,CONCLUIDA,ATRASO,2024-07-28T15:00:00+00
4020,DEV-2024-000020,2024-08-15T15:00:00+00,CONCLUIDA,OUTRO,2024-08-17T15:00:00+00
4021,DEV-2024-000021,2024-10-02T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-10-04T15:00:00+00
4022,DEV-2024-000022,2024-10-21T15:00:00+00,CONCLUIDA,AVARIA,2024-10-23T15:00:00+00
4023,DEV-2024-000023,2024-11-10T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-11-12T15:00:00+00
4024,DEV-2024-000024,2024-11-27T15:00:00+00,CONCLUIDA,ATRASO,2024-11-29T15:00:00+00
4025,DEV-2024-000025,2024-12-16T15:00:00+00,CONCLUIDA,OUTRO,2024-12-18T15:00:00+00
4026,DEV-2024-000026,2024-02-02T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-02-04T15:00:00+00
4027,DEV-2024-000027,2024-02-22T15:00:00+00,CONCLUIDA,AVARIA,2024-02-24T15:00:00+00
4028,DEV-2024-000028,2024-03-11T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-03-13T15:00:00+00
4029,DEV-2024-000029,2024-04-28T15:00:00+00,CONCLUIDA,ATRASO,2024-04-30T15:00:00+00
4030,DEV-2024-000030,2024-05-17T15:00:00+00,CONCLUIDA,OUTRO,2024-05-19T15:00:00+00
4031,DEV-2024-000031,2024-07-04T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-07-06T15:00:00+00
4032,DEV-2024-000032,2024-07-23T15:00:00+00,CONCLUIDA,AVARIA,2024-07-25T15:00:00+00
4033,DEV-2024-000033,2024-08-12T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-08-14T15:00:00+00
4034,DEV-2024-000034,2024-09-29T15:00:00+00,CONCLUIDA,ATRASO,2024-10-01T15:00:00+00
4035,DEV-2024-000035,2024-10-18T15:00:00+00,CONCLUIDA,OUTRO,2024-10-20T15:00:00+00
4036,DEV-2024-000036,2024-12-05T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-12-07T15:00:00+00
4037,DEV-2024-000037,2024-11-24T15:00:00+00,CONCLUIDA,AVARIA,2024-11-26T15:00:00+00
4038,DEV-2024-000038,2024-12-13T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-12-15T15:00:00+00
4039,DEV-2024-000039,2024-01-30T15:00:00+00,CONCLUIDA,ATRASO,2024-02-01T15:00:00+00
4040,DEV-2024-000040,2024-02-19T15:00:00+00,CONCLUIDA,OUTRO,2024-02-21T15:00:00+00
4041,DEV-2024-000041,2024-04-05T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-04-07T15:00:00+00
4042,DEV-2024-000042,2024-04-25T15:00:00+00,CONCLUIDA,AVARIA,2024-04-27T15:00:00+00
4043,DEV-2024-000043,2024-05-14T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-05-16T15:00:00+00
4044,DEV-2024-000044,2024-07-01T15:00:00+00,CONCLUIDA,ATRASO,2024-07-03T15:00:00+00
4045,DEV-2024-000045,2024-07-20T15:00:00+00,CONCLUIDA,OUTRO,2024-07-22T15:00:00+00
4046,DEV-2024-000046,2024-09-06T15:00:00+00,CONCLUIDA,ARREPENDIMENTO,2024-09-08T15:00:00+00
4047,DEV-2024-000047,2024-09-26T15:00:00+00,CONCLUIDA,AVARIA,2024-09-28T15:00:00+00
4048,DEV-2024-000048,2024-10-15T15:00:00+00,CONCLUIDA,ITEM_INCORRETO,2024-10-17T15:00:00+00
4049,DEV-2024-000049,2024-12-02T15:00:00+00,CONCLUIDA,ATRASO,2024-12-04T15:00:00+00
4050,DEV-2024-000050,2024-11-21T15:00:00+00,CONCLUIDA,OUTRO,2024-11-23T15:00:00+00
