devolucao_id,item_pedido_id,quantidade_devolvida,valor_reembolso
1,11601,1,80.69
2,11603,1,84.80
3,11605,1,88.91
4,11607,1,93.02
5,11609,1,97.13
6,11611,1,101.24
7,11613,1,105.35
8,11615,1,109.46
9,11617,1,113.57
10,11619,1,117.68
11,11621,1,121.79
12,11623,1,125.90
13,11625,1,130.01
14,11627,1,134.12
15,11629,1,138.23
16,11631,1,142.34
17,11633,1,146.45
18,11635,1,150.56
19,11637,1,154.67
20,11639,1,158.78
21,11641,1,162.89
22,11643,1,167.00
23,11645,1,171.11
24,11647,1,175.22
25,11649,1,179.33
26,11651,1,183.44
27,11653,1,34.11
28,11655,1,38.22
29,11657,1,42.33
30,11659,1,46.44
31,11661,1,50.55
32,11663,1,43.73
33,11665,1,55.84
34,11667,1,53.45
35,11669,1,50.25
36,11671,1,63.99
37,11673,1,60.17
38,11675,1,75.36
39,11677,1,70.92
40,11679,1,65.66
41,11681,1,82.49
42,11683,1,76.61
43,11685,1,94.88
44,11687,1,88.39
45,11689,1,81.07
46,11691,1,100.98
47,11693,1,93.05
48,11695,1,114.40
49,11697,1,105.86
50,11699,1,96.48
51,11701,1,132.75
52,11703,1,136.86
53,11705,1,140.97
54,11707,1,145.08
55,11709,1,149.19
56,11711,1,153.30
57,11713,1,157.41
58,11715,1,161.52
59,11717,1,165.63
60,11719,1,169.74
61,11721,1,173.85
62,11723,1,177.96
63,11725,1,182.07
64,11727,1,32.74
65,11729,1,36.85
66,11731,1,40.96
67,11733,1,45.07
68,11735,1,49.18
69,11737,1,53.29
70,11739,1,57.40
71,11741,1,61.51
72,11743,1,65.62
73,11745,1,69.73
74,11747,1,73.84
75,11749,1,77.95
76,11751,1,82.06
77,11753,1,86.17
78,11755,1,90.28
79,11757,1,94.39
80,11759,1,98.50
81,11761,1,102.61
82,11763,1,85.38
83,11765,1,105.29
84,11767,1,97.70
85,11769,1,89.29
86,11771,1,110.85
87,11773,1,101.82
88,11775,1,124.82
89,11777,1,115.17
90,11779,1,104.70
91,11781,1,129.34
92,11783,1,118.26
93,11785,1,144.34
94,11787,1,132.64
95,11789,1,120.12
96,11791,1,147.84
97,11793,1,134.70
98,11795,1,163.86
99,11797,1,150.11
100,11799,1,135.53
101,11801,1,31.37
102,11803,1,35.48
103,11805,1,39.59
104,11807,1,43.70
105,11809,1,47.81
106,11811,1,51.92
107,11813,1,56.03
108,11815,1,60.14
109,11817,1,64.25
110,11819,1,68.36
111,11821,1,72.47
112,11823,1,76.58
113,11825,1,80.69
114,11827,1,84.80
115,11829,1,88.91
116,11831,1,93.02
117,11833,1,97.13
118,11835,1,101.24
119,11837,1,105.35
120,11839,1,109.46
121,11841,1,113.57
122,11843,1,117.68
123,11845,1,121.79
124,11847,1,125.90
125,11849,1,130.01
126,11851,1,134.12
127,11853,1,138.23
128,11855,1,142.34
129,11857,1,146.45
130,11859,1,150.56
131,11861,1,154.67
132,11863,1,127.03
133,11865,1,154.75
134,11867,1,141.95
135,11869,1,128.34
136,11871,1,157.70
137,11873,1,143.47
138,11875,1,174.27
139,11877,1,29.00
140,11879,1,28.67
141,11881,1,38.10
142,11883,1,37.16
143,11885,1,48.03
144,11887,1,46.47
145,11889,1,44.08
146,11891,1,56.60
147,11893,1,53.60
148,11895,1,67.55
149,11897,1,63.93
150,11899,1,59.49
151,11901,1,83.43
152,11903,1,87.54
153,11905,1,91.65
154,11907,1,95.76
155,11909,1,99.87
