pedido_id,numero_item,produto_id,quantidade,preco_unitario,desconto_unitario,custo_unitario
1,1,21,2,58.77,0.00,59.77
1,2,38,3,82.06,0.00,83.06
1,3,55,4,105.35,0.00,106.35
2,1,24,5,62.88,0.00,63.88
2,2,41,6,86.17,0.00,87.17
2,3,58,7,109.46,0.00,110.46
3,1,27,8,66.99,0.00,67.99
3,2,44,1,90.28,0.00,91.28
3,3,61,2,113.57,0.00,114.57
4,1,30,3,71.10,0.00,72.10
4,2,47,4,94.39,0.00,95.39
4,3,64,5,117.68,0.00,118.68
5,1,33,6,75.21,0.00,76.21
5,2,50,7,98.50,0.00,99.50
5,3,67,8,121.79,0.00,122.79
6,1,36,1,79.32,0.00,80.32
6,2,53,2,102.61,0.00,103.61
6,3,70,3,125.90,0.00,126.90
7,1,39,4,83.43,0.00,84.43
7,2,56,5,106.72,0.00,107.72
7,3,73,6,130.01,0.00,131.01
8,1,42,7,87.54,0.00,88.54
8,2,59,8,110.83,0.00,111.83
8,3,76,1,134.12,0.00,135.12
9,1,45,2,91.65,0.00,92.65
9,2,62,3,114.94,0.00,115.94
9,3,79,4,138.23,0.00,139.23
10,1,48,5,95.76,0.00,96.76
10,2,65,6,119.05,0.00,120.05
10,3,82,7,142.34,0.00,143.34
11,1,51,8,99.87,0.00,100.87
11,2,68,1,123.16,0.00,124.16
11,3,85,2,146.45,0.00,147.45
12,1,54,3,103.98,0.00,104.98
12,2,71,4,127.27,0.00,128.27
12,3,88,5,150.56,0.00,151.56
13,1,57,6,108.09,0.00,109.09
13,2,74,7,131.38,0.00,132.38
13,3,91,8,154.67,0.00,155.67
14,1,60,1,112.20,0.00,113.20
14,2,77,2,135.49,0.00,136.49
14,3,94,3,158.78,0.00,159.78
15,1,63,4,116.31,0.00,117.31
15,2,80,5,139.60,0.00,140.60
15,3,97,6,162.89,0.00,163.89
16,1,66,7,120.42,0.00,121.42
16,2,83,8,143.71,0.00,144.71
16,3,100,1,167.00,0.00,168.00
17,1,69,2,124.53,0.00,125.53
17,2,86,3,147.82,0.00,148.82
17,3,103,4,171.11,0.00,172.11
18,1,72,5,128.64,0.00,129.64
18,2,89,6,151.93,0.00,152.93
18,3,106,7,175.22,0.00,176.22
19,1,75,8,132.75,0.00,133.75
19,2,92,1,156.04,0.00,157.04
19,3,109,2,179.33,0.00,180.33
20,1,78,3,136.86,0.00,137.86
20,2,95,4,160.15,0.00,161.15
20,3,112,5,183.44,0.00,184.44
21,1,81,6,140.97,0.00,93.04
21,2,98,7,164.26,24.63,113.33
21,3,3,8,34.11,6.82,24.55
22,1,84,1,145.08,36.27,53.67
22,2,101,2,168.37,8.41,67.34
22,3,6,3,38.22,3.82,16.43
23,1,87,4,149.19,22.37,68.62
23,2,104,5,172.48,34.49,84.51
23,3,9,6,42.33,10.58,22.01
24,1,90,7,153.30,7.66,84.31
24,2,107,8,176.59,17.65,102.42
24,3,12,1,46.44,6.96,28.32
25,1,93,2,157.41,31.48,100.74
25,2,110,3,180.70,45.17,121.06
25,3,15,4,50.55,2.52,35.38
26,1,96,5,161.52,16.15,56.53
26,2,1,6,31.37,4.70,11.92
26,3,18,7,54.66,10.93,22.41
27,1,99,8,165.63,41.40,72.87
27,2,4,1,35.48,1.77,16.67
27,3,21,2,58.77,5.87,29.38
28,1,102,3,169.74,25.46,89.96
28,2,7,4,39.59,7.91,22.17
28,3,24,5,62.88,15.72,37.09
29,1,105,6,173.85,8.69,107.78
29,2,10,7,43.70,4.37,28.40
29,3,27,8,66.99,10.04,45.55
30,1,108,1,177.96,35.59,126.35
30,2,13,2,47.81,11.95,17.21
30,3,30,3,71.10,3.55,27.72
31,1,111,4,182.07,18.20,76.46
31,2,16,5,51.92,7.78,23.36
31,3,33,6,75.21,15.04,36.10
32,1,2,7,32.74,8.18,16.69
32,2,19,8,56.03,2.80,30.25
32,3,36,1,79.32,7.93,45.21
33,1,5,2,36.85,5.52,22.11
33,2,22,3,60.14,12.02,37.88
33,3,39,4,83.43,20.85,55.06
34,1,8,5,40.96,0.00,28.26
34,2,25,6,64.25,0.00,46.26
34,3,42,7,87.54,0.00,32.38
35,1,11,8,45.07,0.00,18.02
35,2,28,1,68.36,0.00,29.39
35,3,45,2,91.65,0.00,42.15
36,1,14,3,49.18,0.00,24.09
36,2,31,4,72.47,0.00,37.68
36,3,48,5,95.76,0.00,52.66
37,1,17,6,53.29,0.00,30.90
37,2,34,7,76.58,0.00,46.71
37,3,51,8,99.87,0.00,63.91
38,1,20,1,57.40,0.00,38.45
38,2,37,2,80.69,0.00,56.48
38,3,54,3,103.98,0.00,36.39
39,1,23,4,61.51,0.00,23.37
39,2,40,5,84.80,0.00,34.76
39,3,57,6,108.09,0.00,47.55
40,1,26,7,65.62,0.00,30.84
40,2,43,8,88.91,0.00,44.45
40,3,60,1,112.20,0.00,59.46
41,1,29,2,69.73,0.00,39.04
41,2,46,3,93.02,0.00,54.88
41,3,63,4,116.31,0.00,72.11
42,1,32,5,73.84,0.00,47.99
42,2,49,6,97.13,0.00,66.04
42,3,66,7,120.42,0.00,85.49
43,1,35,8,77.95,0.00,28.06
43,2,52,1,101.24,0.00,39.48
43,3,69,2,124.53,0.00,52.30
44,1,38,3,82.06,0.00,36.92
44,2,55,4,105.35,0.00,50.56
44,3,72,5,128.64,0.00,65.60
45,1,41,6,86.17,0.00,46.53
45,2,58,7,109.46,0.00,62.39
45,3,75,8,132.75,0.00,79.65
46,1,44,1,90.28,0.00,56.87
46,2,61,2,113.57,0.00,74.95
46,3,78,3,136.86,0.00,94.43
47,1,47,4,94.39,0.00,67.96
47,2,64,5,117.68,0.00,43.54
47,3,81,6,140.97,0.00,56.38
48,1,50,7,98.50,0.00,42.35
48,2,67,8,121.79,0.00,56.02
48,3,84,1,145.08,0.00,71.08
49,1,53,2,102.61,0.00,53.35
49,2,70,3,125.90,0.00,69.24
49,3,87,4,149.19,0.00,86.53
50,1,56,5,106.72,0.00,65.09
50,2,73,6,130.01,0.00,83.20
50,3,90,7,153.30,0.00,102.71
51,1,59,8,110.83,0.00,77.58
51,2,76,1,134.12,0.00,46.94
51,3,93,2,157.41,0.00,59.81
52,1,62,3,114.94,0.00,47.12
52,2,79,4,138.23,0.00,60.82
52,3,96,5,161.52,0.00,75.91
53,1,65,6,119.05,0.00,59.52
53,2,82,7,142.34,0.00,75.44
53,3,99,8,165.63,0.00,92.75
54,1,68,1,123.16,0.00,72.66
54,2,85,2,146.45,0.00,90.79
54,3,102,3,169.74,25.46,110.33
55,1,71,4,127.27,25.45,86.54
55,2,88,5,150.56,37.64,106.89
55,3,105,6,173.85,8.69,62.58
56,1,74,7,131.38,13.13,51.23
56,2,91,8,154.67,23.20,64.96
56,3,108,1,177.96,35.59,80.08
57,1,77,2,135.49,33.87,65.03
57,2,94,3,158.78,7.93,80.97
57,3,111,4,182.07,18.20,98.31
58,1,80,5,139.60,20.94,79.57
58,2,97,6,162.89,32.57,97.73
58,3,2,7,32.74,8.18,20.62
59,1,83,8,143.71,7.18,94.84
59,2,100,1,167.00,16.70,115.23
59,3,5,2,36.85,5.52,26.53
60,1,86,3,147.82,29.56,54.69
60,2,103,4,171.11,42.77,68.44
60,3,8,5,40.96,2.04,17.61
61,1,89,6,151.93,15.19,69.88
61,2,106,7,175.22,26.28,85.85
61,3,11,8,45.07,9.01,23.43
62,1,92,1,156.04,39.01,85.82
62,2,109,2,179.33,8.96,104.01
62,3,14,3,49.18,4.91,29.99
63,1,95,4,160.15,24.02,102.49
63,2,112,5,183.44,36.68,122.90
63,3,17,6,53.29,13.32,37.30
64,1,98,7,164.26,8.21,57.49
64,2,3,8,34.11,3.41,12.96
64,3,20,1,57.40,8.61,23.53
65,1,101,2,168.37,33.67,74.08
65,2,6,3,38.22,9.55,17.96
65,3,23,4,61.51,3.07,30.75
66,1,104,5,172.48,17.24,91.41
66,2,9,6,42.33,6.34,23.70
66,3,26,7,65.62,13.12,38.71
67,1,107,8,176.59,44.14,109.48
67,2,12,1,46.44,0.00,30.18
67,3,29,2,69.73,0.00,47.41
68,1,110,3,180.70,0.00,128.29
68,2,15,4,50.55,0.00,18.19
68,3,32,5,73.84,0.00,28.79
69,1,1,6,31.37,0.00,13.17
69,2,18,7,54.66,0.00,24.59
69,3,35,8,77.95,0.00,37.41
70,1,4,1,35.48,0.00,18.09
70,2,21,2,58.77,0.00,31.73
70,3,38,3,82.06,0.00,46.77
71,1,7,4,39.59,0.00,23.75
71,2,24,5,62.88,0.00,39.61
71,3,41,6,86.17,0.00,56.87
72,1,10,7,43.70,0.00,30.15
72,2,27,8,66.99,0.00,48.23
72,3,44,1,90.28,0.00,33.40
73,1,13,2,47.81,0.00,19.12
73,2,30,3,71.10,0.00,30.57
73,3,47,4,94.39,0.00,43.41
74,1,16,5,51.92,0.00,25.44
74,2,33,6,75.21,0.00,39.10
74,3,50,7,98.50,0.00,54.17
75,1,19,8,56.03,0.00,32.49
75,2,36,1,79.32,0.00,48.38
75,3,53,2,102.61,0.00,65.67
76,1,22,3,60.14,0.00,40.29
76,2,39,4,83.43,0.00,58.40
76,3,56,5,106.72,0.00,37.35
77,1,25,6,64.25,0.00,24.41
77,2,42,7,87.54,0.00,35.89
77,3,59,8,110.83,0.00,48.76
78,1,28,1,68.36,0.00,32.12
78,2,45,2,91.65,0.00,45.82
78,3,62,3,114.94,0.00,60.91
79,1,31,4,72.47,0.00,40.58
79,2,48,5,95.76,0.00,56.49
79,3,65,6,119.05,0.00,73.81
80,1,34,7,76.58,0.00,49.77
80,2,51,8,99.87,0.00,67.91
80,3,68,1,123.16,0.00,87.44
81,1,37,2,80.69,0.00,29.04
81,2,54,3,103.98,0.00,40.55
81,3,71,4,127.27,0.00,53.45
82,1,40,5,84.80,0.00,38.16
82,2,57,6,108.09,0.00,51.88
82,3,74,7,131.38,0.00,67.00
83,1,43,8,88.91,0.00,48.01
83,2,60,1,112.20,0.00,63.95
83,3,77,2,135.49,0.00,81.29
84,1,46,3,93.02,0.00,58.60
84,2,63,4,116.31,0.00,76.76
84,3,80,5,139.60,0.00,96.32
85,1,49,6,97.13,0.00,69.93
85,2,66,7,120.42,0.00,44.55
