pedido_id,sequencia,data_pagamento,meio_pagamento,tipo_evento,status,valor,parcelas,pagamento_origem_id,devolucao_id
1,1,2023-05-24T15:00:00+00,PIX,COBRANCA,RECUSADO,785.12,1,,
2,1,2023-06-13T15:00:00+00,PIX,COBRANCA,RECUSADO,1597.64,1,,
3,1,2023-07-02T15:00:00+00,PIX,COBRANCA,RECUSADO,853.34,1,,
4,1,2023-08-19T15:00:00+00,PIX,COBRANCA,RECUSADO,1179.26,1,,
5,1,2023-09-08T15:00:00+00,PIX,COBRANCA,RECUSADO,2115.08,1,,
6,1,2023-10-25T15:00:00+00,PIX,COBRANCA,RECUSADO,662.24,1,,
7,1,2023-11-14T15:00:00+00,PIX,COBRANCA,RECUSADO,1647.38,1,,
8,1,2023-11-03T15:00:00+00,PIX,COBRANCA,RECUSADO,1633.54,1,,
9,1,2023-12-20T15:00:00+00,PIX,COBRANCA,RECUSADO,1081.04,1,,
10,1,2023-01-09T15:00:00+00,PIX,COBRANCA,RECUSADO,2189.48,1,,
11,1,2023-02-26T15:00:00+00,PIX,COBRANCA,RECUSADO,1215.02,1,,
12,1,2023-03-15T15:00:00+00,PIX,COBRANCA,RECUSADO,1573.82,1,,
13,1,2023-04-04T15:00:00+00,PIX,COBRANCA,RECUSADO,2805.56,1,,
14,1,2023-05-21T15:00:00+00,PIX,COBRANCA,RECUSADO,859.52,1,,
15,1,2023-06-10T15:00:00+00,PIX,COBRANCA,RECUSADO,2140.58,1,,
16,1,2023-07-27T15:00:00+00,PIX,COBRANCA,RECUSADO,2159.62,1,,
17,1,2023-08-16T15:00:00+00,PIX,COBRANCA,RECUSADO,1376.96,1,,
18,1,2023-09-05T15:00:00+00,PIX,COBRANCA,RECUSADO,2781.32,1,,
19,1,2023-10-22T15:00:00+00,PIX,COBRANCA,RECUSADO,1576.70,1,,
20,1,2023-11-11T15:00:00+00,PIX,COBRANCA,RECUSADO,1968.38,1,,
21,1,2023-11-28T15:00:00+00,PIX,COBRANCA,RECUSADO,2041.55,1,,
22,1,2023-12-17T15:00:00+00,PIX,COBRANCA,RECUSADO,531.93,1,,
23,1,2023-01-06T15:00:00+00,PIX,COBRANCA,RECUSADO,1387.73,1,,
24,1,2023-02-23T15:00:00+00,PIX,COBRANCA,RECUSADO,2330.48,1,,
25,1,2023-03-12T15:00:00+00,PIX,COBRANCA,RECUSADO,850.57,1,,
26,1,2023-04-29T15:00:00+00,PIX,COBRANCA,RECUSADO,1192.98,1,,
27,1,2023-05-18T15:00:00+00,PIX,COBRANCA,RECUSADO,1133.35,1,,
28,1,2023-06-07T15:00:00+00,PIX,COBRANCA,RECUSADO,795.36,1,,
29,1,2023-07-24T15:00:00+00,PIX,COBRANCA,RECUSADO,1721.87,1,,
30,1,2023-08-13T15:00:00+00,PIX,COBRANCA,RECUSADO,416.74,1,,
31,1,2023-09-02T15:00:00+00,PIX,COBRANCA,RECUSADO,1237.20,1,,
32,1,2023-10-19T15:00:00+00,PIX,COBRANCA,RECUSADO,669.15,1,,
33,1,2023-11-08T15:00:00+00,PIX,COBRANCA,RECUSADO,457.34,1,,
34,1,2023-11-25T15:00:00+00,PIX,COBRANCA,RECUSADO,1203.08,1,,
35,1,2023-12-14T15:00:00+00,PIX,COBRANCA,RECUSADO,612.22,1,,
36,1,2023-01-03T15:00:00+00,PIX,COBRANCA,RECUSADO,916.22,1,,
37,1,2023-02-20T15:00:00+00,PIX,COBRANCA,RECUSADO,1654.76,1,,
38,1,2023-03-09T15:00:00+00,PIX,COBRANCA,RECUSADO,530.72,1,,
39,1,2023-04-26T15:00:00+00,PIX,COBRANCA,RECUSADO,1318.58,1,,
40,1,2023-05-15T15:00:00+00,PIX,COBRANCA,RECUSADO,1282.82,1,,
41,1,2023-06-04T15:00:00+00,PIX,COBRANCA,RECUSADO,883.76,1,,
42,1,2023-07-21T15:00:00+00,PIX,COBRANCA,RECUSADO,1794.92,1,,
43,1,2023-08-10T15:00:00+00,PIX,COBRANCA,RECUSADO,973.90,1,,
44,1,2023-09-27T15:00:00+00,PIX,COBRANCA,RECUSADO,1310.78,1,,
45,1,2023-10-16T15:00:00+00,PIX,COBRANCA,RECUSADO,2345.24,1,,
46,1,2023-11-05T15:00:00+00,PIX,COBRANCA,RECUSADO,728.00,1,,
47,1,2023-11-22T15:00:00+00,PIX,COBRANCA,RECUSADO,1811.78,1,,
48,1,2023-12-11T15:00:00+00,PIX,COBRANCA,RECUSADO,1808.90,1,,
49,1,2023-01-28T15:00:00+00,PIX,COBRANCA,RECUSADO,1179.68,1,,
50,1,2023-02-17T15:00:00+00,PIX,COBRANCA,RECUSADO,2386.76,1,,
51,1,2023-03-06T15:00:00+00,PIX,COBRANCA,RECUSADO,1335.58,1,,
52,1,2023-04-23T15:00:00+00,PIX,COBRANCA,RECUSADO,1705.34,1,,
53,1,2023-05-12T15:00:00+00,PIX,COBRANCA,RECUSADO,3035.72,1,,
54,1,2023-06-29T15:00:00+00,PIX,COBRANCA,RECUSADO,848.90,1,,
55,1,2023-07-18T15:00:00+00,PIX,COBRANCA,RECUSADO,1962.84,1,,
56,1,2023-08-07T15:00:00+00,PIX,COBRANCA,RECUSADO,2021.88,1,,
57,1,2023-09-24T15:00:00+00,PIX,COBRANCA,RECUSADO,1311.27,1,,
58,1,2023-10-13T15:00:00+00,PIX,COBRANCA,RECUSADO,1547.14,1,,
59,1,2023-11-02T15:00:00+00,PIX,COBRANCA,RECUSADO,1305.20,1,,
60,1,2023-11-19T15:00:00+00,PIX,COBRANCA,RECUSADO,1062.74,1,,
61,1,2023-12-08T15:00:00+00,PIX,COBRANCA,RECUSADO,2151.50,1,,
62,1,2023-01-25T15:00:00+00,PIX,COBRANCA,RECUSADO,590.58,1,,
63,1,2023-02-14T15:00:00+00,PIX,COBRANCA,RECUSADO,1518.14,1,,
64,1,2023-03-03T15:00:00+00,PIX,COBRANCA,RECUSADO,1386.74,1,,
65,1,2023-04-20T15:00:00+00,PIX,COBRANCA,RECUSADO,589.17,1,,
66,1,2023-05-09T15:00:00+00,PIX,COBRANCA,RECUSADO,1359.64,1,,
67,1,2023-06-26T15:00:00+00,PIX,COBRANCA,RECUSADO,1245.50,1,,
68,1,2023-07-15T15:00:00+00,PIX,COBRANCA,RECUSADO,1113.50,1,,
69,1,2023-08-04T15:00:00+00,PIX,COBRANCA,RECUSADO,1194.44,1,,
70,1,2023-09-21T15:00:00+00,PIX,COBRANCA,RECUSADO,399.20,1,,
71,1,2023-10-10T15:00:00+00,PIX,COBRANCA,RECUSADO,989.78,1,,
72,1,2023-11-27T15:00:00+00,PIX,COBRANCA,RECUSADO,932.10,1,,
73,1,2023-11-16T15:00:00+00,PIX,COBRANCA,RECUSADO,686.48,1,,
74,1,2023-12-05T15:00:00+00,PIX,COBRANCA,RECUSADO,1400.36,1,,
75,1,2023-01-22T15:00:00+00,PIX,COBRANCA,RECUSADO,732.78,1,,
76,1,2023-02-11T15:00:00+00,PIX,COBRANCA,RECUSADO,1047.74,1,,
77,1,2023-03-28T15:00:00+00,PIX,COBRANCA,RECUSADO,1884.92,1,,
78,1,2023-04-17T15:00:00+00,PIX,COBRANCA,RECUSADO,596.48,1,,
79,1,2023-05-06T15:00:00+00,PIX,COBRANCA,RECUSADO,1482.98,1,,
80,1,2023-06-23T15:00:00+00,PIX,COBRANCA,RECUSADO,1458.18,1,,
81,1,2023-07-12T15:00:00+00,PIX,COBRANCA,RECUSADO,982.40,1,,
82,1,2023-08-29T15:00:00+00,PIX,COBRANCA,RECUSADO,1992.20,1,,
83,1,2023-09-18T15:00:00+00,PIX,COBRANCA,RECUSADO,1094.46,1,,
84,1,2023-10-07T15:00:00+00,PIX,COBRANCA,RECUSADO,1442.30,1,,
85,1,2023-11-24T15:00:00+00,PIX,COBRANCA,RECUSADO,2575.40,1,,
86,1,2023-11-13T15:00:00+00,PIX,COBRANCA,RECUSADO,793.76,1,,
87,1,2023-12-02T15:00:00+00,PIX,COBRANCA,RECUSADO,1976.18,1,,
88,1,2023-01-19T15:00:00+00,PIX,COBRANCA,RECUSADO,1617.98,1,,
89,1,2023-02-08T15:00:00+00,PIX,COBRANCA,RECUSADO,1129.86,1,,
90,1,2023-03-25T15:00:00+00,PIX,COBRANCA,RECUSADO,2197.48,1,,
91,1,2023-04-14T15:00:00+00,PIX,COBRANCA,RECUSADO,1269.68,1,,
