numero_pedido,data_pedido,cliente_id,canal_id,vendedor_id,status_logistico,status_devolucao,cidade_entrega,uf_entrega,valor_frete_cotado,data_faturamento,data_entrega,motivo_cancelamento
PED-2023-000001,2023-05-23T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000002,2023-06-12T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000003,2023-07-01T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000004,2023-08-18T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000005,2023-09-07T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000006,2023-10-24T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000007,2023-11-13T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000008,2023-11-02T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000009,2023-12-19T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000010,2023-01-08T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000011,2023-02-25T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000012,2023-03-14T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000013,2023-04-03T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000014,2023-05-20T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
PED-2023-000015,2023-06-09T15:00:00+00,,1,,CANCELADO,NAO_APLICAVEL,Curitiba,PR,12.90,,,Cliente desistiu
