sku,nome,categoria_id,preco_lista_atual,custo_padrao_atual,data_lancamento,data_descontinuacao,ativo
AUR-00000001,Produto Aurora 001,1,31.37,11.92,2019-02-01,,true
AUR-00000002,Produto Aurora 002,2,32.74,13.42,2020-03-01,,true
AUR-00000003,Produto Aurora 003,3,34.11,15.00,2021-04-01,,true
AUR-00000004,Produto Aurora 004,4,35.48,16.67,2022-05-01,,true
AUR-00000005,Produto Aurora 005,5,36.85,18.42,2018-06-01,,true
AUR-00000006,Produto Aurora 006,6,38.22,20.25,2019-07-01,,true
AUR-00000007,Produto Aurora 007,7,39.59,22.17,2020-08-01,,true
AUR-00000008,Produto Aurora 008,8,40.96,24.16,2021-09-01,,true
AUR-00000009,Produto Aurora 009,1,42.33,26.24,2022-10-01,,true
AUR-00000010,Produto Aurora 010,2,43.70,28.40,2018-11-01,,true
AUR-00000011,Produto Aurora 011,3,45.07,30.64,2019-12-01,,true
AUR-00000012,Produto Aurora 012,4,46.44,32.97,2020-01-01,,true
AUR-00000013,Produto Aurora 013,5,47.81,17.21,2021-02-01,,true
AUR-00000014,Produto Aurora 014,6,49.18,19.18,2022-03-01,,true
AUR-00000015,Produto Aurora 015,7,50.55,21.23,2018-04-01,,true
AUR-00000016,Produto Aurora 016,8,51.92,23.36,2019-05-01,,true
AUR-00000017,Produto Aurora 017,1,53.29,25.57,2020-06-01,,true
AUR-00000018,Produto Aurora 018,2,54.66,27.87,2021-07-01,,true
AUR-00000019,Produto Aurora 019,3,56.03,30.25,2022-08-01,,true
AUR-00000020,Produto Aurora 020,4,57.40,32.71,2018-09-01,,true
AUR-00000021,Produto Aurora 021,5,58.77,35.26,2019-10-01,,true
AUR-00000022,Produto Aurora 022,6,60.14,37.88,2020-11-01,,true
AUR-00000023,Produto Aurora 023,7,61.51,40.59,2021-12-01,,true
AUR-00000024,Produto Aurora 024,8,62.88,43.38,2022-01-01,,true
AUR-00000025,Produto Aurora 025,1,64.25,46.26,2018-02-01,,true
AUR-00000026,Produto Aurora 026,2,65.62,24.27,2019-03-01,,true
