produto_id,sku,nome,preco_lista_atual
15,AUR-00000015,Produto Aurora 015,50.55
16,AUR-00000016,Produto Aurora 016,51.92
17,AUR-00000017,Produto Aurora 017,53.29
18,AUR-00000018,Produto Aurora 018,54.66
19,AUR-00000019,Produto Aurora 019,56.03
20,AUR-00000020,Produto Aurora 020,57.40
21,AUR-00000021,Produto Aurora 021,58.77
22,AUR-00000022,Produto Aurora 022,60.14
23,AUR-00000023,Produto Aurora 023,61.51
24,AUR-00000024,Produto Aurora 024,62.88
25,AUR-00000025,Produto Aurora 025,64.25
26,AUR-00000026,Produto Aurora 026,65.62
27,AUR-00000027,Produto Aurora 027,66.99
28,AUR-00000028,Produto Aurora 028,68.36
29,AUR-00000029,Produto Aurora 029,69.73
30,AUR-00000030,Produto Aurora 030,71.10
31,AUR-00000031,Produto Aurora 031,72.47
32,AUR-00000032,Produto Aurora 032,73.84
33,AUR-00000033,Produto Aurora 033,75.21
34,AUR-00000034,Produto Aurora 034,76.58
35,AUR-00000035,Produto Aurora 035,77.95
36,AUR-00000036,Produto Aurora 036,79.32
37,AUR-00000037,Produto Aurora 037,80.69
38,AUR-00000038,Produto Aurora 038,82.06
39,AUR-00000039,Produto Aurora 039,83.43
40,AUR-00000040,Produto Aurora 040,84.80
41,AUR-00000041,Produto Aurora 041,86.17
42,AUR-00000042,Produto Aurora 042,87.54
43,AUR-00000043,Produto Aurora 043,88.91
44,AUR-00000044,Produto Aurora 044,90.28
45,AUR-00000045,Produto Aurora 045,91.65
46,AUR-00000046,Produto Aurora 046,93.02
47,AUR-00000047,Produto Aurora 047,94.39
48,AUR-00000048,Produto Aurora 048,95.76
49,AUR-00000049,Produto Aurora 049,97.13
50,AUR-00000050,Produto Aurora 050,98.50
51,AUR-00000051,Produto Aurora 051,99.87
