pedido_id,numero_pedido,data_pedido_civil
283,PED-2023-000283,2023-01-01
647,PED-2023-000647,2023-01-01
1011,PED-2023-001011,2023-01-01
1375,PED-2023-001375,2023-01-01
36,PED-2023-000036,2023-01-02
400,PED-2023-000400,2023-01-02
764,PED-2023-000764,2023-01-02
1128,PED-2023-001128,2023-01-02
153,PED-2023-000153,2023-01-03
517,PED-2023-000517,2023-01-03
881,PED-2023-000881,2023-01-03
1245,PED-2023-001245,2023-01-03
270,PED-2023-000270,2023-01-04
634,PED-2023-000634,2023-01-04
998,PED-2023-000998,2023-01-04
1362,PED-2023-001362,2023-01-04
23,PED-2023-000023,2023-01-05
387,PED-2023-000387,2023-01-05
751,PED-2023-000751,2023-01-05
1115,PED-2023-001115,2023-01-05
140,PED-2023-000140,2023-01-06
504,PED-2023-000504,2023-01-06
868,PED-2023-000868,2023-01-06
1232,PED-2023-001232,2023-01-06
257,PED-2023-000257,2023-01-07
621,PED-2023-000621,2023-01-07
985,PED-2023-000985,2023-01-07
1349,PED-2023-001349,2023-01-07
10,PED-2023-000010,2023-01-08
374,PED-2023-000374,2023-01-08
738,PED-2023-000738,2023-01-08
1102,PED-2023-001102,2023-01-08
127,PED-2023-000127,2023-01-09
491,PED-2023-000491,2023-01-09
855,PED-2023-000855,2023-01-09
1219,PED-2023-001219,2023-01-09
244,PED-2023-000244,2023-01-10
608,PED-2023-000608,2023-01-10
972,PED-2023-000972,2023-01-10
1336,PED-2023-001336,2023-01-10
361,PED-2023-000361,2023-01-11
725,PED-2023-000725,2023-01-11
1089,PED-2023-001089,2023-01-11
114,PED-2023-000114,2023-01-12
478,PED-2023-000478,2023-01-12
842,PED-2023-000842,2023-01-12
1206,PED-2023-001206,2023-01-12
1433,PED-2023-001433,2023-01-12
231,PED-2023-000231,2023-01-13
595,PED-2023-000595,2023-01-13
959,PED-2023-000959,2023-01-13
1323,PED-2023-001323,2023-01-13
348,PED-2023-000348,2023-01-14
712,PED-2023-000712,2023-01-14
1076,PED-2023-001076,2023-01-14
101,PED-2023-000101,2023-01-15
465,PED-2023-000465,2023-01-15
829,PED-2023-000829,2023-01-15
1193,PED-2023-001193,2023-01-15
1420,PED-2023-001420,2023-01-15
218,PED-2023-000218,2023-01-16
582,PED-2023-000582,2023-01-16
946,PED-2023-000946,2023-01-16
1310,PED-2023-001310,2023-01-16
335,PED-2023-000335,2023-01-17
699,PED-2023-000699,2023-01-17
1063,PED-2023-001063,2023-01-17
88,PED-2023-000088,2023-01-18
452,PED-2023-000452,2023-01-18
816,PED-2023-000816,2023-01-18
1180,PED-2023-001180,2023-01-18
1407,PED-2023-001407,2023-01-18
205,PED-2023-000205,2023-01-19
569,PED-2023-000569,2023-01-19
933,PED-2023-000933,2023-01-19
1297,PED-2023-001297,2023-01-19
322,PED-2023-000322,2023-01-20
686,PED-2023-000686,2023-01-20
1050,PED-2023-001050,2023-01-20
75,PED-2023-000075,2023-01-21
439,PED-2023-000439,2023-01-21
803,PED-2023-000803,2023-01-21
1167,PED-2023-001167,2023-01-21
192,PED-2023-000192,2023-01-22
556,PED-2023-000556,2023-01-22
920,PED-2023-000920,2023-01-22
1284,PED-2023-001284,2023-01-22
309,PED-2023-000309,2023-01-23
673,PED-2023-000673,2023-01-23
1037,PED-2023-001037,2023-01-23
62,PED-2023-000062,2023-01-24
426,PED-2023-000426,2023-01-24
790,PED-2023-000790,2023-01-24
1154,PED-2023-001154,2023-01-24
179,PED-2023-000179,2023-01-25
543,PED-2023-000543,2023-01-25
907,PED-2023-000907,2023-01-25
1271,PED-2023-001271,2023-01-25
296,PED-2023-000296,2023-01-26
660,PED-2023-000660,2023-01-26
1024,PED-2023-001024,2023-01-26
1388,PED-2023-001388,2023-01-26
49,PED-2023-000049,2023-01-27
413,PED-2023-000413,2023-01-27
777,PED-2023-000777,2023-01-27
1141,PED-2023-001141,2023-01-27
166,PED-2023-000166,2023-01-28
530,PED-2023-000530,2023-01-28
894,PED-2023-000894,2023-01-28
1258,PED-2023-001258,2023-01-28
115,PED-2023-000115,2023-02-01
479,PED-2023-000479,2023-02-01
843,PED-2023-000843,2023-02-01
1207,PED-2023-001207,2023-02-01
1434,PED-2023-001434,2023-02-01
232,PED-2023-000232,2023-02-02
596,PED-2023-000596,2023-02-02
960,PED-2023-000960,2023-02-02
1324,PED-2023-001324,2023-02-02
349,PED-2023-000349,2023-02-03
713,PED-2023-000713,2023-02-03
1077,PED-2023-001077,2023-02-03
102,PED-2023-000102,2023-02-04
466,PED-2023-000466,2023-02-04
830,PED-2023-000830,2023-02-04
1194,PED-2023-001194,2023-02-04
