item_pedido_id,pedido_id,numero_item,produto_id,quantidade,preco_unitario,valor_bruto_item
1,1,1,21,2,58.77,117.54
2,1,2,38,3,82.06,246.18
3,1,3,55,4,105.35,421.40
4,2,1,24,5,62.88,314.40
5,2,2,41,6,86.17,517.02
6,2,3,58,7,109.46,766.22
7,3,1,27,8,66.99,535.92
8,3,2,44,1,90.28,90.28
9,3,3,61,2,113.57,227.14
10,4,1,30,3,71.10,213.30
11,4,2,47,4,94.39,377.56
12,4,3,64,5,117.68,588.40
13,5,1,33,6,75.21,451.26
14,5,2,50,7,98.50,689.50
15,5,3,67,8,121.79,974.32
16,6,1,36,1,79.32,79.32
17,6,2,53,2,102.61,205.22
18,6,3,70,3,125.90,377.70
19,7,1,39,4,83.43,333.72
20,7,2,56,5,106.72,533.60
21,7,3,73,6,130.01,780.06
22,8,1,42,7,87.54,612.78
23,8,2,59,8,110.83,886.64
24,8,3,76,1,134.12,134.12
25,9,1,45,2,91.65,183.30
26,9,2,62,3,114.94,344.82
27,9,3,79,4,138.23,552.92
28,10,1,48,5,95.76,478.80
29,10,2,65,6,119.05,714.30
30,10,3,82,7,142.34,996.38
31,11,1,51,8,99.87,798.96
32,11,2,68,1,123.16,123.16
33,11,3,85,2,146.45,292.90
34,12,1,54,3,103.98,311.94
35,12,2,71,4,127.27,509.08
36,12,3,88,5,150.56,752.80
37,13,1,57,6,108.09,648.54
38,13,2,74,7,131.38,919.66
39,13,3,91,8,154.67,1237.36
40,14,1,60,1,112.20,112.20
41,14,2,77,2,135.49,270.98
42,14,3,94,3,158.78,476.34
43,15,1,63,4,116.31,465.24
44,15,2,80,5,139.60,698.00
45,15,3,97,6,162.89,977.34
46,16,1,66,7,120.42,842.94
47,16,2,83,8,143.71,1149.68
48,16,3,100,1,167.00,167.00
49,17,1,69,2,124.53,249.06
50,17,2,86,3,147.82,443.46
51,17,3,103,4,171.11,684.44
52,18,1,72,5,128.64,643.20
53,18,2,89,6,151.93,911.58
54,18,3,106,7,175.22,1226.54
55,19,1,75,8,132.75,1062.00
56,19,2,92,1,156.04,156.04
57,19,3,109,2,179.33,358.66
58,20,1,78,3,136.86,410.58
59,20,2,95,4,160.15,640.60
60,20,3,112,5,183.44,917.20
61,21,1,81,6,140.97,845.82
62,21,2,98,7,164.26,1149.82
63,21,3,3,8,34.11,272.88
64,22,1,84,1,145.08,145.08
65,22,2,101,2,168.37,336.74
66,22,3,6,3,38.22,114.66
67,23,1,87,4,149.19,596.76
68,23,2,104,5,172.48,862.40
69,23,3,9,6,42.33,253.98
70,24,1,90,7,153.30,1073.10
71,24,2,107,8,176.59,1412.72
72,24,3,12,1,46.44,46.44
73,25,1,93,2,157.41,314.82
74,25,2,110,3,180.70,542.10
75,25,3,15,4,50.55,202.20
76,26,1,96,5,161.52,807.60
77,26,2,1,6,31.37,188.22
78,26,3,18,7,54.66,382.62
79,27,1,99,8,165.63,1325.04
80,27,2,4,1,35.48,35.48
81,27,3,21,2,58.77,117.54
82,28,1,102,3,169.74,509.22
83,28,2,7,4,39.59,158.36
84,28,3,24,5,62.88,314.40
85,29,1,105,6,173.85,1043.10
86,29,2,10,7,43.70,305.90
87,29,3,27,8,66.99,535.92
88,30,1,108,1,177.96,177.96
89,30,2,13,2,47.81,95.62
90,30,3,30,3,71.10,213.30
91,31,1,111,4,182.07,728.28
92,31,2,16,5,51.92,259.60
93,31,3,33,6,75.21,451.26
94,32,1,2,7,32.74,229.18
95,32,2,19,8,56.03,448.24
96,32,3,36,1,79.32,79.32
97,33,1,5,2,36.85,73.70
98,33,2,22,3,60.14,180.42
99,33,3,39,4,83.43,333.72
100,34,1,8,5,40.96,204.80
101,34,2,25,6,64.25,385.50
102,34,3,42,7,87.54,612.78
103,35,1,11,8,45.07,360.56
104,35,2,28,1,68.36,68.36
105,35,3,45,2,91.65,183.30
106,36,1,14,3,49.18,147.54
107,36,2,31,4,72.47,289.88
108,36,3,48,5,95.76,478.80
109,37,1,17,6,53.29,319.74
110,37,2,34,7,76.58,536.06
111,37,3,51,8,99.87,798.96
112,38,1,20,1,57.40,57.40
113,38,2,37,2,80.69,161.38
114,38,3,54,3,103.98,311.94
115,39,1,23,4,61.51,246.04
116,39,2,40,5,84.80,424.00
117,39,3,57,6,108.09,648.54
118,40,1,26,7,65.62,459.34
119,40,2,43,8,88.91,711.28
120,40,3,60,1,112.20,112.20
121,41,1,29,2,69.73,139.46
122,41,2,46,3,93.02,279.06
123,41,3,63,4,116.31,465.24
124,42,1,32,5,73.84,369.20
125,42,2,49,6,97.13,582.78
126,42,3,66,7,120.42,842.94
127,43,1,35,8,77.95,623.60
128,43,2,52,1,101.24,101.24
129,43,3,69,2,124.53,249.06
130,44,1,38,3,82.06,246.18
131,44,2,55,4,105.35,421.40
132,44,3,72,5,128.64,643.20
133,45,1,41,6,86.17,517.02
134,45,2,58,7,109.46,766.22
135,45,3,75,8,132.75,1062.00
136,46,1,44,1,90.28,90.28
137,46,2,61,2,113.57,227.14
138,46,3,78,3,136.86,410.58
139,47,1,47,4,94.39,377.56
140,47,2,64,5,117.68,588.40
141,47,3,81,6,140.97,845.82
142,48,1,50,7,98.50,689.50
143,48,2,67,8,121.79,974.32
144,48,3,84,1,145.08,145.08
145,49,1,53,2,102.61,205.22
146,49,2,70,3,125.90,377.70
147,49,3,87,4,149.19,596.76
148,50,1,56,5,106.72,533.60
149,50,2,73,6,130.01,780.06
150,50,3,90,7,153.30,1073.10
151,51,1,59,8,110.83,886.64
152,51,2,76,1,134.12,134.12
153,51,3,93,2,157.41,314.82
154,52,1,62,3,114.94,344.82
155,52,2,79,4,138.23,552.92
156,52,3,96,5,161.52,807.60
157,53,1,65,6,119.05,714.30
158,53,2,82,7,142.34,996.38
159,53,3,99,8,165.63,1325.04
160,54,1,68,1,123.16,123.16
161,54,2,85,2,146.45,292.90
162,54,3,102,3,169.74,509.22
163,55,1,71,4,127.27,509.08
164,55,2,88,5,150.56,752.80
165,55,3,105,6,173.85,1043.10
166,56,1,74,7,131.38,919.66
167,56,2,91,8,154.67,1237.36
168,56,3,108,1,177.96,177.96
169,57,1,77,2,135.49,270.98
170,57,2,94,3,158.78,476.34
171,57,3,111,4,182.07,728.28
172,58,1,80,5,139.60,698.00
173,58,2,97,6,162.89,977.34
174,58,3,2,7,32.74,229.18
175,59,1,83,8,143.71,1149.68
176,59,2,100,1,167.00,167.00
177,59,3,5,2,36.85,73.70
178,60,1,86,3,147.82,443.46
179,60,2,103,4,171.11,684.44
180,60,3,8,5,40.96,204.80
181,61,1,89,6,151.93,911.58
182,61,2,106,7,175.22,1226.54
183,61,3,11,8,45.07,360.56
184,62,1,92,1,156.04,156.04
185,62,2,109,2,179.33,358.66
186,62,3,14,3,49.18,147.54
187,63,1,95,4,160.15,640.60
188,63,2,112,5,183.44,917.20
189,63,3,17,6,53.29,319.74
190,64,1,98,7,164.26,1149.82
191,64,2,3,8,34.11,272.88
192,64,3,20,1,57.40,57.40
193,65,1,101,2,168.37,336.74
194,65,2,6,3,38.22,114.66
195,65,3,23,4,61.51,246.04
196,66,1,104,5,172.48,862.40
197,66,2,9,6,42.33,253.98
198,66,3,26,7,65.62,459.34
199,67,1,107,8,176.59,1412.72
200,67,2,12,1,46.44,46.44
201,67,3,29,2,69.73,139.46
202,68,1,110,3,180.70,542.10
203,68,2,15,4,50.55,202.20
204,68,3,32,5,73.84,369.20
205,69,1,1,6,31.37,188.22
206,69,2,18,7,54.66,382.62
207,69,3,35,8,77.95,623.60
208,70,1,4,1,35.48,35.48
209,70,2,21,2,58.77,117.54
210,70,3,38,3,82.06,246.18
211,71,1,7,4,39.59,158.36
212,71,2,24,5,62.88,314.40
213,71,3,41,6,86.17,517.02
214,72,1,10,7,43.70,305.90
215,72,2,27,8,66.99,535.92
216,72,3,44,1,90.28,90.28
217,73,1,13,2,47.81,95.62
218,73,2,30,3,71.10,213.30
219,73,3,47,4,94.39,377.56
220,74,1,16,5,51.92,259.60
221,74,2,33,6,75.21,451.26
222,74,3,50,7,98.50,689.50
223,75,1,19,8,56.03,448.24
224,75,2,36,1,79.32,79.32
225,75,3,53,2,102.61,205.22
226,76,1,22,3,60.14,180.42
227,76,2,39,4,83.43,333.72
228,76,3,56,5,106.72,533.60
229,77,1,25,6,64.25,385.50
230,77,2,42,7,87.54,612.78
231,77,3,59,8,110.83,886.64
232,78,1,28,1,68.36,68.36
233,78,2,45,2,91.65,183.30
234,78,3,62,3,114.94,344.82
235,79,1,31,4,72.47,289.88
236,79,2,48,5,95.76,478.80
237,79,3,65,6,119.05,714.30
238,80,1,34,7,76.58,536.06
239,80,2,51,8,99.87,798.96
240,80,3,68,1,123.16,123.16
241,81,1,37,2,80.69,161.38
242,81,2,54,3,103.98,311.94
243,81,3,71,4,127.27,509.08
244,82,1,40,5,84.80,424.00
245,82,2,57,6,108.09,648.54
246,82,3,74,7,131.38,919.66
247,83,1,43,8,88.91,711.28
248,83,2,60,1,112.20,112.20
249,83,3,77,2,135.49,270.98
250,84,1,46,3,93.02,279.06
251,84,2,63,4,116.31,465.24
252,84,3,80,5,139.60,698.00
253,85,1,49,6,97.13,582.78
254,85,2,66,7,120.42,842.94
255,85,3,83,8,143.71,1149.68
256,86,1,52,1,101.24,101.24
257,86,2,69,2,124.53,249.06
258,86,3,86,3,147.82,443.46
259,87,1,55,4,105.35,421.40
260,87,2,72,5,128.64,643.20
261,87,3,89,6,151.93,911.58
262,88,1,58,7,109.46,766.22
263,88,2,75,8,132.75,1062.00
264,88,3,92,1,156.04,156.04
265,89,1,61,2,113.57,227.14
266,89,2,78,3,136.86,410.58
267,89,3,95,4,160.15,640.60
268,90,1,64,5,117.68,588.40
269,90,2,81,6,140.97,845.82
270,90,3,98,7,164.26,1149.82
271,91,1,67,8,121.79,974.32
272,91,2,84,1,145.08,145.08
273,91,3,101,2,168.37,336.74
274,92,1,70,3,125.90,377.70
275,92,2,87,4,149.19,596.76
276,92,3,104,5,172.48,862.40
277,93,1,73,6,130.01,780.06
278,93,2,90,7,153.30,1073.10
279,93,3,107,8,176.59,1412.72
280,94,1,76,1,134.12,134.12
281,94,2,93,2,157.41,314.82
282,94,3,110,3,180.70,542.10
283,95,1,79,4,138.23,552.92
284,95,2,96,5,161.52,807.60
285,95,3,1,6,31.37,188.22
286,96,1,82,7,142.34,996.38
287,96,2,99,8,165.63,1325.04
288,96,3,4,1,35.48,35.48
289,97,1,85,2,146.45,292.90
290,97,2,102,3,169.74,509.22
291,97,3,7,4,39.59,158.36
292,98,1,88,5,150.56,752.80
293,98,2,105,6,173.85,1043.10
294,98,3,10,7,43.70,305.90
295,99,1,91,8,154.67,1237.36
296,99,2,108,1,177.96,177.96
