pedido_id,numero_pedido,receita_mercadoria_liquida
841,PED-2023-000841,1475.60
842,PED-2023-000842,1904.52
843,PED-2023-000843,1390.38
844,PED-2023-000844,1332.70
845,PED-2023-000845,2498.68
846,PED-2023-000846,662.24
847,PED-2023-000847,1877.54
848,PED-2023-000848,1480.10
849,PED-2023-000849,697.44
850,PED-2023-000850,1575.72
851,PED-2023-000851,1598.62
852,PED-2023-000852,1113.50
853,PED-2023-000853,1194.44
854,PED-2023-000854,362.30
855,PED-2023-000855,853.74
856,PED-2023-000856,803.14
857,PED-2023-000857,614.21
858,PED-2023-000858,1098.88
859,PED-2023-000859,671.67
860,PED-2023-000860,901.63
861,PED-2023-000861,1577.21
862,PED-2023-000862,535.76
863,PED-2023-000863,1165.19
864,PED-2023-000864,1333.13
865,PED-2023-000865,846.73
866,PED-2023-000866,1668.65
867,PED-2023-000867,916.70
868,PED-2023-000868,1442.30
869,PED-2023-000869,2575.40
870,PED-2023-000870,793.76
871,PED-2023-000871,1976.18
872,PED-2023-000872,1984.26
873,PED-2023-000873,1278.32
874,PED-2023-000874,2584.04
875,PED-2023-000875,1456.14
876,PED-2023-000876,1836.86
877,PED-2023-000877,3265.88
878,PED-2023-000878,991.04
879,PED-2023-000879,1548.74
880,PED-2023-000880,2356.90
881,PED-2023-000881,960.48
882,PED-2023-000882,2101.80
883,PED-2023-000883,1510.94
884,PED-2023-000884,1464.22
885,PED-2023-000885,1654.76
886,PED-2023-000886,421.12
887,PED-2023-000887,1274.74
888,PED-2023-000888,1382.33
889,PED-2023-000889,719.95
890,PED-2023-000890,1482.94
891,PED-2023-000891,423.51
892,PED-2023-000892,701.37
893,PED-2023-000893,1116.96
894,PED-2023-000894,406.85
895,PED-2023-000895,992.34
896,PED-2023-000896,955.48
897,PED-2023-000897,701.32
898,PED-2023-000898,1255.59
899,PED-2023-000899,783.54
900,PED-2023-000900,1042.24
901,PED-2023-000901,2115.08
902,PED-2023-000902,662.24
903,PED-2023-000903,1647.38
904,PED-2023-000904,1633.54
905,PED-2023-000905,1081.04
906,PED-2023-000906,2189.48
907,PED-2023-000907,1215.02
908,PED-2023-000908,1573.82
909,PED-2023-000909,2805.56
910,PED-2023-000910,859.52
911,PED-2023-000911,2140.58
912,PED-2023-000912,2159.62
913,PED-2023-000913,1376.96
914,PED-2023-000914,2781.32
915,PED-2023-000915,1576.70
916,PED-2023-000916,1968.38
917,PED-2023-000917,2268.52
918,PED-2023-000918,596.48
919,PED-2023-000919,1713.14
920,PED-2023-000920,2532.26
921,PED-2023-000921,937.38
922,PED-2023-000922,1128.96
923,PED-2023-000923,1242.87
924,PED-2023-000924,893.59
925,PED-2023-000925,1573.14
926,PED-2023-000926,412.09
927,PED-2023-000927,1199.03
928,PED-2023-000928,612.94
929,PED-2023-000929,516.09
930,PED-2023-000930,1035.18
931,PED-2023-000931,529.31
932,PED-2023-000932,817.02
933,PED-2023-000933,1299.97
934,PED-2023-000934,530.72
935,PED-2023-000935,1318.58
936,PED-2023-000936,1282.82
937,PED-2023-000937,883.76
938,PED-2023-000938,1794.92
939,PED-2023-000939,973.90
940,PED-2023-000940,1310.78
941,PED-2023-000941,2345.24
942,PED-2023-000942,728.00
943,PED-2023-000943,1811.78
944,PED-2023-000944,1808.90
945,PED-2023-000945,1179.68
946,PED-2023-000946,2386.76
947,PED-2023-000947,1335.58
948,PED-2023-000948,1705.34
949,PED-2023-000949,3035.72
950,PED-2023-000950,925.28
951,PED-2023-000951,2304.98
952,PED-2023-000952,2334.98
953,PED-2023-000953,1475.60
954,PED-2023-000954,1870.15
