pedido_id,numero_pedido,desconto_mercadoria
841,PED-2023-000841,0.00
842,PED-2023-000842,0.00
843,PED-2023-000843,0.00
844,PED-2023-000844,0.00
845,PED-2023-000845,0.00
846,PED-2023-000846,0.00
847,PED-2023-000847,0.00
848,PED-2023-000848,0.00
849,PED-2023-000849,0.00
850,PED-2023-000850,0.00
851,PED-2023-000851,0.00
852,PED-2023-000852,0.00
853,PED-2023-000853,0.00
854,PED-2023-000854,36.90
855,PED-2023-000855,136.04
856,PED-2023-000856,128.96
857,PED-2023-000857,72.27
858,PED-2023-000858,301.48
859,PED-2023-000859,61.11
860,PED-2023-000860,146.11
861,PED-2023-000861,307.71
862,PED-2023-000862,60.72
863,PED-2023-000863,317.79
864,PED-2023-000864,125.05
865,PED-2023-000865,135.67
866,PED-2023-000866,323.55
867,PED-2023-000867,177.76
868,PED-2023-000868,0.00
869,PED-2023-000869,0.00
870,PED-2023-000870,0.00
871,PED-2023-000871,0.00
872,PED-2023-000872,0.00
873,PED-2023-000873,0.00
874,PED-2023-000874,0.00
875,PED-2023-000875,0.00
876,PED-2023-000876,0.00
877,PED-2023-000877,0.00
878,PED-2023-000878,0.00
879,PED-2023-000879,0.00
880,PED-2023-000880,0.00
881,PED-2023-000881,0.00
882,PED-2023-000882,0.00
883,PED-2023-000883,0.00
884,PED-2023-000884,0.00
885,PED-2023-000885,0.00
886,PED-2023-000886,0.00
887,PED-2023-000887,0.00
888,PED-2023-000888,273.13
889,PED-2023-000889,76.13
890,PED-2023-000890,290.06
891,PED-2023-000891,68.15
892,PED-2023-000892,83.33
893,PED-2023-000893,307.64
894,PED-2023-000894,58.11
895,PED-2023-000895,161.84
896,PED-2023-000896,151.98
897,PED-2023-000897,83.80
898,PED-2023-000898,342.05
899,PED-2023-000899,69.80
900,PED-2023-000900,137.02
901,PED-2023-000901,0.00
902,PED-2023-000902,0.00
903,PED-2023-000903,0.00
904,PED-2023-000904,0.00
905,PED-2023-000905,0.00
906,PED-2023-000906,0.00
907,PED-2023-000907,0.00
908,PED-2023-000908,0.00
909,PED-2023-000909,0.00
910,PED-2023-000910,0.00
911,PED-2023-000911,0.00
912,PED-2023-000912,0.00
913,PED-2023-000913,0.00
914,PED-2023-000914,0.00
915,PED-2023-000915,0.00
916,PED-2023-000916,0.00
917,PED-2023-000917,0.00
918,PED-2023-000918,0.00
919,PED-2023-000919,0.00
920,PED-2023-000920,0.00
921,PED-2023-000921,121.74
922,PED-2023-000922,249.48
923,PED-2023-000923,235.19
924,PED-2023-000924,88.39
925,PED-2023-000925,311.78
926,PED-2023-000926,74.79
927,PED-2023-000927,240.11
928,PED-2023-000928,143.80
929,PED-2023-000929,71.75
930,PED-2023-000930,167.90
931,PED-2023-000931,82.91
932,PED-2023-000932,99.20
933,PED-2023-000933,354.79
934,PED-2023-000934,0.00
935,PED-2023-000935,0.00
936,PED-2023-000936,0.00
937,PED-2023-000937,0.00
938,PED-2023-000938,0.00
939,PED-2023-000939,0.00
940,PED-2023-000940,0.00
941,PED-2023-000941,0.00
942,PED-2023-000942,0.00
943,PED-2023-000943,0.00
944,PED-2023-000944,0.00
945,PED-2023-000945,0.00
946,PED-2023-000946,0.00
947,PED-2023-000947,0.00
948,PED-2023-000948,0.00
949,PED-2023-000949,0.00
950,PED-2023-000950,0.00
951,PED-2023-000951,0.00
952,PED-2023-000952,0.00
953,PED-2023-000953,0.00
954,PED-2023-000954,34.37
955,PED-2023-000955,275.35
956,PED-2023-000956,187.93
957,PED-2023-000957,325.20
958,PED-2023-000958,131.99
959,PED-2023-000959,171.64
960,PED-2023-000960,300.98
961,PED-2023-000961,100.05
962,PED-2023-000962,274.18
963,PED-2023-000963,255.98
964,PED-2023-000964,102.64
965,PED-2023-000965,164.36
966,PED-2023-000966,70.39
967,PED-2023-000967,39.56
968,PED-2023-000968,0.00
