cliente_id,codigo_cliente,nome
3601,CLI-00003601,Cliente Sintético 3601
3602,CLI-00003602,Cliente Sintético 3602
3603,CLI-00003603,Cliente Sintético 3603
3604,CLI-00003604,Cliente Sintético 3604
3605,CLI-00003605,Cliente Sintético 3605
3606,CLI-00003606,Cliente Sintético 3606
3607,CLI-00003607,Cliente Sintético 3607
3608,CLI-00003608,Cliente Sintético 3608
3609,CLI-00003609,Cliente Sintético 3609
3610,CLI-00003610,Cliente Sintético 3610
3611,CLI-00003611,Cliente Sintético 3611
3612,CLI-00003612,Cliente Sintético 3612
3613,CLI-00003613,Cliente Sintético 3613
3614,CLI-00003614,Cliente Sintético 3614
3615,CLI-00003615,Cliente Sintético 3615
3616,CLI-00003616,Cliente Sintético 3616
3617,CLI-00003617,Cliente Sintético 3617
3618,CLI-00003618,Cliente Sintético 3618
3619,CLI-00003619,Cliente Sintético 3619
3620,CLI-00003620,Cliente Sintético 3620
3621,CLI-00003621,Cliente Sintético 3621
3622,CLI-00003622,Cliente Sintético 3622
3623,CLI-00003623,Cliente Sintético 3623
3624,CLI-00003624,Cliente Sintético 3624
3625,CLI-00003625,Cliente Sintético 3625
3626,CLI-00003626,Cliente Sintético 3626
3627,CLI-00003627,Cliente Sintético 3627
3628,CLI-00003628,Cliente Sintético 3628
3629,CLI-00003629,Cliente Sintético 3629
3630,CLI-00003630,Cliente Sintético 3630
3631,CLI-00003631,Cliente Sintético 3631
3632,CLI-00003632,Cliente Sintético 3632
3633,CLI-00003633,Cliente Sintético 3633
3634,CLI-00003634,Cliente Sintético 3634
3635,CLI-00003635,Cliente Sintético 3635
3636,CLI-00003636,Cliente Sintético 3636
3637,CLI-00003637,Cliente Sintético 3637
3638,CLI-00003638,Cliente Sintético 3638
3639,CLI-00003639,Cliente Sintético 3639
3640,CLI-00003640,Cliente Sintético 3640
3641,CLI-00003641,Cliente Sintético 3641
3642,CLI-00003642,Cliente Sintético 3642
3643,CLI-00003643,Cliente Sintético 3643
3644,CLI-00003644,Cliente Sintético 3644
3645,CLI-00003645,Cliente Sintético 3645
3646,CLI-00003646,Cliente Sintético 3646
3647,CLI-00003647,Cliente Sintético 3647
3648,CLI-00003648,Cliente Sintético 3648
3649,CLI-00003649,Cliente Sintético 3649
3650,CLI-00003650,Cliente Sintético 3650
3651,CLI-00003651,Cliente Sintético 3651
3652,CLI-00003652,Cliente Sintético 3652
3653,CLI-00003653,Cliente Sintético 3653
3654,CLI-00003654,Cliente Sintético 3654
3655,CLI-00003655,Cliente Sintético 3655
3656,CLI-00003656,Cliente Sintético 3656
3657,CLI-00003657,Cliente Sintético 3657
3658,CLI-00003658,Cliente Sintético 3658
3659,CLI-00003659,Cliente Sintético 3659
3660,CLI-00003660,Cliente Sintético 3660
3661,CLI-00003661,Cliente Sintético 3661
3662,CLI-00003662,Cliente Sintético 3662
3663,CLI-00003663,Cliente Sintético 3663
3664,CLI-00003664,Cliente Sintético 3664
3665,CLI-00003665,Cliente Sintético 3665
3666,CLI-00003666,Cliente Sintético 3666
3667,CLI-00003667,Cliente Sintético 3667
3668,CLI-00003668,Cliente Sintético 3668
3669,CLI-00003669,Cliente Sintético 3669
3670,CLI-00003670,Cliente Sintético 3670
3671,CLI-00003671,Cliente Sintético 3671
3672,CLI-00003672,Cliente Sintético 3672
3673,CLI-00003673,Cliente Sintético 3673
3674,CLI-00003674,Cliente Sintético 3674
3675,CLI-00003675,Cliente Sintético 3675
3676,CLI-00003676,Cliente Sintético 3676
3677,CLI-00003677,Cliente Sintético 3677
3678,CLI-00003678,Cliente Sintético 3678
3679,CLI-00003679,Cliente Sintético 3679
3680,CLI-00003680,Cliente Sintético 3680
3681,CLI-00003681,Cliente Sintético 3681
3682,CLI-00003682,Cliente Sintético 3682
3683,CLI-00003683,Cliente Sintético 3683
3684,CLI-00003684,Cliente Sintético 3684
3685,CLI-00003685,Cliente Sintético 3685
3686,CLI-00003686,Cliente Sintético 3686
3687,CLI-00003687,Cliente Sintético 3687
3688,CLI-00003688,Cliente Sintético 3688
3689,CLI-00003689,Cliente Sintético 3689
3690,CLI-00003690,Cliente Sintético 3690
3691,CLI-00003691,Cliente Sintético 3691
3692,CLI-00003692,Cliente Sintético 3692
3693,CLI-00003693,Cliente Sintético 3693
3694,CLI-00003694,Cliente Sintético 3694
3695,CLI-00003695,Cliente Sintético 3695
3696,CLI-00003696,Cliente Sintético 3696
3697,CLI-00003697,Cliente Sintético 3697
3698,CLI-00003698,Cliente Sintético 3698
3699,CLI-00003699,Cliente Sintético 3699
3700,CLI-00003700,Cliente Sintético 3700
3701,CLI-00003701,Cliente Sintético 3701
3702,CLI-00003702,Cliente Sintético 3702
3703,CLI-00003703,Cliente Sintético 3703
3704,CLI-00003704,Cliente Sintético 3704
3705,CLI-00003705,Cliente Sintético 3705
3706,CLI-00003706,Cliente Sintético 3706
3707,CLI-00003707,Cliente Sintético 3707
3708,CLI-00003708,Cliente Sintético 3708
3709,CLI-00003709,Cliente Sintético 3709
3710,CLI-00003710,Cliente Sintético 3710
3711,CLI-00003711,Cliente Sintético 3711
3712,CLI-00003712,Cliente Sintético 3712
3713,CLI-00003713,Cliente Sintético 3713
3714,CLI-00003714,Cliente Sintético 3714
3715,CLI-00003715,Cliente Sintético 3715
3716,CLI-00003716,Cliente Sintético 3716
3717,CLI-00003717,Cliente Sintético 3717
3718,CLI-00003718,Cliente Sintético 3718
3719,CLI-00003719,Cliente Sintético 3719
3720,CLI-00003720,Cliente Sintético 3720
3721,CLI-00003721,Cliente Sintético 3721
