mes,desconto_mercadoria,receita_bruta,desconto_efetivo_pct
2023-01-01,19076.74,304289.56,6.2692719395302290
2023-02-01,17035.15,305725.76,5.5720361934826820
2023-03-01,18005.01,307269.56,5.8596790388218084
2023-04-01,17612.21,306090.60,5.7539205712295641
2023-05-01,19057.87,305289.74,6.2425517477266023
2023-06-01,17706.01,302932.28,5.8448739764544076
2023-07-01,18095.46,303124.02,5.9696555884947686
2023-08-01,17441.79,306154.88,5.6970478471550086
2023-09-01,18145.39,306275.86,5.9245250343921979
2023-10-01,18355.37,306033.06,5.9978389262911661
2023-11-01,35366.58,611356.58,5.7849348738505440
2023-12-01,18468.09,310223.22,5.9531617265786874
2024-01-01,16092.10,266864.14,6.0300720808723120
2024-02-01,14007.59,268009.46,5.2265281979225659
2024-03-01,15090.25,264663.42,5.7016757359214961
2024-04-01,18416.24,307489.90,5.9892178572369369
2024-05-01,19053.71,311480.26,6.1171484831815666
2024-06-01,17134.85,304715.90,5.6232214991078575
2024-07-01,17049.60,309021.67,5.5172829788927100
2024-08-01,19605.40,311626.60,6.2913114605749317
2024-09-01,20036.93,317486.45,6.3111134349198210
2024-10-01,18785.44,318981.96,5.8891857081823687
2024-11-01,33388.39,582507.80,5.7318356938739704
2024-12-01,19213.62,311097.56,6.1760754407716988
2025-01-01,19460.21,328173.09,5.9298615861526001
2025-02-01,17741.62,327912.68,5.4104708607181644
2025-03-01,18694.18,321971.64,5.8061573373356734
2025-04-01,21156.77,326291.92,6.4840005845072719
2025-05-01,20818.26,328714.69,6.3332308026757186
2025-06-01,17814.07,326305.11,5.4593291536255745
2025-07-01,16833.39,327351.29,5.1423014095957893
2025-08-01,18619.79,326597.09,5.7011500010609403
2025-09-01,20201.85,328287.36,6.1537093599948533
2025-10-01,19080.22,330307.55,5.7765013242960992
2025-11-01,38675.73,656771.72,5.8887629936319426
2025-12-01,20902.16,328696.74,6.3591017057242490
