numero_pedido,quantidade_cobrancas_aprovadas,quantidade_meios,valor_cobrado_aprovado
PED-2023-002001,2,2,973.38
PED-2023-002002,2,2,2114.70
PED-2023-002003,2,2,1523.84
PED-2023-002004,2,2,1477.12
PED-2023-002005,2,2,1667.66
PED-2023-002006,2,2,434.02
PED-2023-002007,2,2,1287.64
PED-2023-002008,2,2,1668.36
PED-2023-002009,2,2,808.98
PED-2023-002010,2,2,1785.90
PED-2023-002011,2,2,504.56
PED-2023-002012,2,2,797.60
PED-2023-002013,2,2,1437.50
PED-2023-002014,2,2,477.86
PED-2023-002015,2,2,1167.08
PED-2023-002016,2,2,1120.36
PED-2023-002017,2,2,798.02
PED-2023-002018,2,2,1610.54
PED-2023-002019,2,2,866.24
PED-2023-002020,2,2,1192.16
PED-2023-002021,2,2,1829.79
PED-2023-002022,2,2,607.28
PED-2023-002023,2,2,1308.54
PED-2023-002024,2,2,1507.10
PED-2023-002025,2,2,943.45
PED-2023-002026,2,2,1848.21
PED-2023-002027,2,2,992.81
PED-2023-002028,2,2,1249.95
PED-2023-002029,2,2,2508.55
PED-2023-002030,2,2,758.45
PED-2023-002031,2,2,1806.84
PED-2023-002032,2,2,1887.68
PED-2023-002033,2,2,1092.76
PED-2023-002034,2,2,2794.22
PED-2023-002035,2,2,1589.60
PED-2023-002036,2,2,1981.28
PED-2023-002037,2,2,2281.42
PED-2023-002038,2,2,609.38
PED-2023-002039,2,2,1726.04
PED-2023-002040,2,2,2545.16
PED-2023-002041,2,2,1072.02
PED-2023-002042,2,2,1391.34
PED-2023-002043,2,2,1490.96
PED-2023-002044,2,2,994.88
PED-2023-002045,2,2,1897.82
PED-2023-002046,2,2,499.78
PED-2023-002047,2,2,1452.04
PED-2023-002048,2,2,769.64
PED-2023-002049,2,2,600.74
PED-2023-002050,2,2,1215.98
PED-2023-002051,2,2,625.12
PED-2023-002052,2,2,929.12
PED-2023-002053,2,2,1667.66
PED-2023-002054,2,2,496.85
PED-2023-002055,2,2,1143.88
PED-2023-002056,2,2,1120.72
PED-2023-002057,2,2,801.33
PED-2023-002058,2,2,1425.25
PED-2023-002059,2,2,908.22
PED-2023-002060,2,2,1136.98
PED-2023-002061,2,2,1979.21
PED-2023-002062,2,2,665.95
PED-2023-002063,2,2,1438.99
PED-2023-002064,2,2,1668.24
PED-2023-002065,2,2,1027.33
PED-2023-002066,2,2,2014.69
PED-2023-002067,2,2,1126.88
PED-2023-002068,2,2,1718.24
PED-2023-002069,2,2,3048.62
PED-2023-002070,2,2,938.18
PED-2023-002071,2,2,2317.88
PED-2023-002072,2,2,2347.88
PED-2023-002073,2,2,1488.50
PED-2023-002074,2,2,1917.42
PED-2023-002075,2,2,1403.28
PED-2023-002076,2,2,1345.60
PED-2023-002077,2,2,2511.58
PED-2023-002078,2,2,675.14
PED-2023-002079,2,2,1890.44
PED-2023-002080,2,2,1493.00
PED-2023-002081,2,2,710.34
PED-2023-002082,2,2,1588.62
PED-2023-002083,2,2,1611.52
PED-2023-002084,2,2,1126.40
PED-2023-002085,2,2,1207.34
PED-2023-002086,2,2,412.10
PED-2023-002087,2,2,1002.68
PED-2023-002088,2,2,769.46
PED-2023-002089,2,2,616.67
PED-2023-002090,2,2,1214.12
PED-2023-002091,2,2,647.95
PED-2023-002092,2,2,945.52
PED-2023-002093,2,2,1495.94
PED-2023-002094,2,2,535.93
PED-2023-002095,2,2,1282.52
PED-2023-002096,2,2,1273.06
PED-2023-002097,2,2,888.51
PED-2023-002098,2,2,1581.96
PED-2023-002099,2,2,1019.98
PED-2023-002100,2,2,1283.12
PED-2023-002101,2,2,2588.30
PED-2023-002102,2,2,806.66
PED-2023-002103,2,2,1989.08
PED-2023-002104,2,2,1997.16
PED-2023-002105,2,2,1291.22
PED-2023-002106,2,2,2596.94
PED-2023-002107,2,2,1469.04
PED-2023-002108,2,2,1849.76
PED-2023-002109,2,2,3278.78
PED-2023-002110,2,2,1003.94
PED-2023-002111,2,2,1561.64
PED-2023-002112,2,2,2369.80
PED-2023-002113,2,2,973.38
PED-2023-002114,2,2,2114.70
PED-2023-002115,2,2,1523.84
PED-2023-002116,2,2,1477.12
PED-2023-002117,2,2,1667.66
PED-2023-002118,2,2,434.02
PED-2023-002119,2,2,1287.64
PED-2023-002120,2,2,1668.36
PED-2023-002121,2,2,728.91
PED-2023-002122,2,2,1487.09
PED-2023-002123,2,2,411.86
PED-2023-002124,2,2,703.67
PED-2023-002125,2,2,1236.42
PED-2023-002126,2,2,396.52
PED-2023-002127,2,2,1039.85
PED-2023-002128,2,2,913.00
PED-2023-002129,2,2,704.36
PED-2023-002130,2,2,1380.16
PED-2023-002131,2,2,753.76
PED-2023-002132,2,2,1061.21
PED-2023-002133,2,2,1678.88
PED-2023-002134,2,2,675.14
PED-2023-002135,2,2,1660.28
PED-2023-002136,2,2,1646.44
PED-2023-002137,2,2,1093.94
PED-2023-002138,2,2,2202.38
PED-2023-002139,2,2,1227.92
PED-2023-002140,2,2,1586.72
PED-2023-002141,2,2,2818.46
PED-2023-002142,2,2,872.42
PED-2023-002143,2,2,2153.48
PED-2023-002144,2,2,2172.52
PED-2023-002145,2,2,1389.86
PED-2023-002146,2,2,2794.22
PED-2023-002147,2,2,1589.60
PED-2023-002148,2,2,1981.28
PED-2023-002149,2,2,2281.42
PED-2023-002150,2,2,609.38
PED-2023-002151,2,2,1726.04
PED-2023-002152,2,2,2545.16
PED-2023-002153,2,2,1072.02
PED-2023-002154,2,2,1334.01
PED-2023-002155,2,2,1211.27
PED-2023-002156,2,2,857.40
PED-2023-002157,2,2,1568.28
PED-2023-002158,2,2,400.66
PED-2023-002159,2,2,1322.01
PED-2023-002160,2,2,607.90
PED-2023-002161,2,2,499.60
PED-2023-002162,2,2,1084.27
PED-2023-002163,2,2,511.55
PED-2023-002164,2,2,821.01
PED-2023-002165,2,2,1429.86
PED-2023-002166,2,2,451.31
PED-2023-002167,2,2,1270.00
PED-2023-002168,2,2,1295.72
PED-2023-002169,2,2,896.66
PED-2023-002170,2,2,1807.82
PED-2023-002171,2,2,986.80
PED-2023-002172,2,2,1323.68
PED-2023-002173,2,2,2358.14
PED-2023-002174,2,2,740.90
PED-2023-002175,2,2,1824.68
PED-2023-002176,2,2,1821.80
PED-2023-002177,2,2,1192.58
PED-2023-002178,2,2,2399.66
PED-2023-002179,2,2,1348.48
PED-2023-002180,2,2,1718.24
PED-2023-002181,2,2,3048.62
PED-2023-002182,2,2,938.18
PED-2023-002183,2,2,2317.88
PED-2023-002184,2,2,2347.88
PED-2023-002185,2,2,1488.50
PED-2023-002186,2,2,1917.42
PED-2023-002187,2,2,1403.28
PED-2023-002188,2,2,1091.01
PED-2023-002189,2,2,2289.32
PED-2023-002190,2,2,546.93
PED-2023-002191,2,2,1624.95
PED-2023-002192,2,2,1186.24
PED-2023-002193,2,2,575.44
PED-2023-002194,2,2,1451.26
PED-2023-002195,2,2,1310.47
PED-2023-002196,2,2,968.07
PED-2023-002197,2,2,1078.87
PED-2023-002198,2,2,321.75
PED-2023-002199,2,2,885.88
PED-2023-002200,2,2,749.90
PED-2023-002201,2,2,699.38
PED-2023-002202,2,2,1413.26
PED-2023-002203,2,2,745.68
PED-2023-002204,2,2,1060.64
PED-2023-002205,2,2,1897.82
PED-2023-002206,2,2,609.38
PED-2023-002207,2,2,1495.88
PED-2023-002208,2,2,1471.08
PED-2023-002209,2,2,995.30
PED-2023-002210,2,2,2005.10
PED-2023-002211,2,2,1107.36
PED-2023-002212,2,2,1455.20
PED-2023-002213,2,2,2588.30
PED-2023-002214,2,2,806.66
PED-2023-002215,2,2,1989.08
PED-2023-002216,2,2,1997.16
PED-2023-002217,2,2,1291.22
PED-2023-002218,2,2,2596.94
PED-2023-002219,2,2,1469.04
PED-2023-002220,2,2,1849.76
PED-2023-002221,2,2,2835.37
PED-2023-002222,2,2,900.46
PED-2023-002223,2,2,1270.18
PED-2023-002224,2,2,2182.23
PED-2023-002225,2,2,779.63
PED-2023-002226,2,2,1821.85
PED-2023-002227,2,2,1196.11
PED-2023-002228,2,2,1195.15
PED-2023-002229,2,2,1528.73
PED-2023-002230,2,2,373.20
PED-2023-002231,2,2,1111.40
PED-2023-002232,2,2,1336.93
PED-2023-002233,2,2,653.27
PED-2023-002234,2,2,1785.90
PED-2023-002235,2,2,504.56
PED-2023-002236,2,2,797.60
PED-2023-002237,2,2,1437.50
PED-2023-002238,2,2,477.86
PED-2023-002239,2,2,1167.08
PED-2023-002240,2,2,1120.36
PED-2023-002241,2,2,798.02
PED-2023-002242,2,2,1610.54
PED-2023-002243,2,2,866.24
PED-2023-002244,2,2,1192.16
PED-2023-002245,2,2,2127.98
PED-2023-002246,2,2,675.14
PED-2023-002247,2,2,1660.28
PED-2023-002248,2,2,1646.44
PED-2023-002249,2,2,1093.94
PED-2023-002250,2,2,2202.38
PED-2023-002251,2,2,1227.92
PED-2023-002252,2,2,1586.72
PED-2023-002253,2,2,2818.46
PED-2023-002254,2,2,800.99
PED-2023-002255,2,2,1837.10
PED-2023-002256,2,2,1882.44
PED-2023-002257,2,2,1236.99
PED-2023-002258,2,2,2208.89
PED-2023-002259,2,2,1467.18
PED-2023-002260,2,2,1693.20
PED-2023-002261,2,2,1969.91
PED-2023-002262,2,2,544.83
PED-2023-002263,2,2,1400.63
PED-2023-002264,2,2,2343.38
PED-2023-002265,2,2,863.47
PED-2023-002266,2,2,1205.88
PED-2023-002267,2,2,1159.76
PED-2023-002268,2,2,994.88
PED-2023-002269,2,2,1897.82
PED-2023-002270,2,2,499.78
PED-2023-002271,2,2,1452.04
PED-2023-002272,2,2,769.64
PED-2023-002273,2,2,600.74
PED-2023-002274,2,2,1215.98
PED-2023-002275,2,2,625.12
PED-2023-002276,2,2,929.12
PED-2023-002277,2,2,1667.66
PED-2023-002278,2,2,543.62
PED-2023-002279,2,2,1331.48
PED-2023-002280,2,2,1295.72
PED-2023-002281,2,2,896.66
PED-2023-002282,2,2,1807.82
PED-2023-002283,2,2,986.80
PED-2023-002284,2,2,1323.68
PED-2023-002285,2,2,2358.14
PED-2023-002286,2,2,740.90
PED-2023-002287,2,2,1824.68
PED-2023-002288,2,2,1487.34
PED-2023-002289,2,2,1055.07
PED-2023-002290,2,2,2044.34
PED-2023-002291,2,2,1176.77
PED-2023-002292,2,2,1523.66
PED-2023-002293,2,2,2411.10
PED-2023-002294,2,2,826.37
PED-2023-002295,2,2,1975.74
PED-2023-002296,2,2,2034.78
PED-2023-002297,2,2,1324.17
PED-2023-002298,2,2,1560.04
PED-2023-002299,2,2,1318.10
PED-2023-002300,2,2,1085.84
PED-2023-002301,2,2,2511.58
PED-2023-002302,2,2,675.14
PED-2023-002303,2,2,1890.44
PED-2023-002304,2,2,1493.00
PED-2023-002305,2,2,710.34
PED-2023-002306,2,2,1588.62
PED-2023-002307,2,2,1611.52
PED-2023-002308,2,2,1126.40
PED-2023-002309,2,2,1207.34
PED-2023-002310,2,2,412.10
PED-2023-002311,2,2,1002.68
PED-2023-002312,2,2,945.00
PED-2023-002313,2,2,699.38
PED-2023-002314,2,2,1413.26
PED-2023-002315,2,2,745.68
PED-2023-002316,2,2,1060.64
PED-2023-002317,2,2,1897.82
PED-2023-002318,2,2,609.38
PED-2023-002319,2,2,1495.88
PED-2023-002320,2,2,1471.08
PED-2023-002321,2,2,846.73
PED-2023-002322,2,2,1774.79
PED-2023-002323,2,2,910.54
PED-2023-002324,2,2,1290.03
PED-2023-002325,2,2,2203.64
PED-2023-002326,2,2,670.52
PED-2023-002327,2,2,1760.47
PED-2023-002328,2,2,1630.88
PED-2023-002329,2,2,1142.76
PED-2023-002330,2,2,2210.38
PED-2023-002331,2,2,1282.58
PED-2023-002332,2,2,1639.35
PED-2023-002333,2,2,2594.04
PED-2023-002334,2,2,1003.94
PED-2023-002335,2,2,1561.64
PED-2023-002336,2,2,2369.80
PED-2023-002337,2,2,973.38
PED-2023-002338,2,2,2114.70
PED-2023-002339,2,2,1523.84
PED-2023-002340,2,2,1477.12
