numero_pedido,saldo_financeiro,total_esperado,diferenca
PED-2023-000001,0,0,0
PED-2023-000002,0,0,0
PED-2023-000003,0,0,0
PED-2023-000004,0,0,0
PED-2023-000005,0,0,0
PED-2023-000006,0,0,0
PED-2023-000007,0,0,0
PED-2023-000008,0,0,0
PED-2023-000009,0,0,0
PED-2023-000010,0,0,0
PED-2023-000011,0,0,0
PED-2023-000012,0,0,0
PED-2023-000013,0,0,0
PED-2023-000014,0,0,0
PED-2023-000015,0,0,0
PED-2023-000016,0,0,0
PED-2023-000017,0,0,0
PED-2023-000018,0,0,0
PED-2023-000019,0,0,0
PED-2023-000020,0,0,0
PED-2023-000021,0,0,0
PED-2023-000022,0,0,0
PED-2023-000023,0,0,0
PED-2023-000024,0,0,0
PED-2023-000025,0,0,0
PED-2023-000026,0,0,0
PED-2023-000027,0,0,0
PED-2023-000028,0,0,0
PED-2023-000029,0,0,0
PED-2023-000030,0,0,0
PED-2023-000031,0,0,0
PED-2023-000032,0,0,0
PED-2023-000033,0,0,0
PED-2023-000034,0,0,0
PED-2023-000035,0,0,0
PED-2023-000036,0,0,0
PED-2023-000037,0,0,0
PED-2023-000038,0,0,0
PED-2023-000039,0,0,0
PED-2023-000040,0,0,0
PED-2023-000041,0,0,0
PED-2023-000042,0,0,0
PED-2023-000043,0,0,0
PED-2023-000044,0,0,0
PED-2023-000045,0,0,0
PED-2023-000046,0,0,0
PED-2023-000047,0,0,0
PED-2023-000048,0,0,0
PED-2023-000049,0,0,0
PED-2023-000050,0,0,0
PED-2023-000051,0,0,0
PED-2023-000052,0,0,0
PED-2023-000053,0,0,0
PED-2023-000054,0,0,0
PED-2023-000055,0,0,0
PED-2023-000056,0,0,0
PED-2023-000057,0,0,0
PED-2023-000058,0,0,0
PED-2023-000059,0,0,0
PED-2023-000060,0,0,0
PED-2023-000061,0,0,0
PED-2023-000062,0,0,0
PED-2023-000063,0,0,0
PED-2023-000064,0,0,0
PED-2023-000065,0,0,0
PED-2023-000066,0,0,0
PED-2023-000067,0,0,0
PED-2023-000068,0,0,0
PED-2023-000069,0,0,0
PED-2023-000070,0,0,0
PED-2023-000071,0,0,0
PED-2023-000072,0,0,0
PED-2023-000073,0,0,0
PED-2023-000074,0,0,0
PED-2023-000075,0,0,0
PED-2023-000076,0,0,0
PED-2023-000077,0,0,0
PED-2023-000078,0,0,0
PED-2023-000079,0,0,0
PED-2023-000080,0,0,0
PED-2023-000081,0,0,0
PED-2023-000082,0,0,0
PED-2023-000083,0,0,0
PED-2023-000084,0,0,0
PED-2023-000085,0,0,0
PED-2023-000086,0,0,0
PED-2023-000087,0,0,0
PED-2023-000088,0,0,0
PED-2023-000089,0,0,0
PED-2023-000090,0,0,0
PED-2023-000091,0,0,0
PED-2023-000092,0,0,0
PED-2023-000093,0,0,0
PED-2023-000094,0,0,0
PED-2023-000095,0,0,0
PED-2023-000096,0,0,0
PED-2023-000097,0,0,0
PED-2023-000098,0,0,0
PED-2023-000099,0,0,0
PED-2023-000100,0,0,0
PED-2023-000101,0,0,0
PED-2023-000102,0,0,0
PED-2023-000103,0,0,0
PED-2023-000104,0,0,0
PED-2023-000105,0,0,0
PED-2023-000106,0,0,0
PED-2023-000107,0,0,0
PED-2023-000108,0,0,0
PED-2023-000109,0,0,0
PED-2023-000110,0,0,0
PED-2023-000111,0,0,0
PED-2023-000112,0,0,0
PED-2023-000113,0,0,0
PED-2023-000114,0,0,0
PED-2023-000115,0,0,0
PED-2023-000116,0,0,0
PED-2023-000117,0,0,0
PED-2023-000118,0,0,0
PED-2023-000119,0,0,0
PED-2023-000120,0,0,0
PED-2023-000121,0,0,0
PED-2023-000122,0,0,0
PED-2023-000123,0,0,0
PED-2023-000124,0,0,0
PED-2023-000125,0,0,0
PED-2023-000126,0,0,0
PED-2023-000127,0,0,0
PED-2023-000128,0,0,0
PED-2023-000129,0,0,0
PED-2023-000130,0,0,0
PED-2023-000131,0,0,0
PED-2023-000132,0,0,0
PED-2023-000133,0,0,0
PED-2023-000134,0,0,0
PED-2023-000135,0,0,0
PED-2023-000136,0,0,0
PED-2023-000137,0,0,0
PED-2023-000138,0,0,0
PED-2023-000139,0,0,0
PED-2023-000140,0,0,0
PED-2023-000141,0,0,0
PED-2023-000142,0,0,0
PED-2023-000143,0,0,0
PED-2023-000144,0,0,0
PED-2023-000145,0,0,0
PED-2023-000146,0,0,0
PED-2023-000147,0,0,0
PED-2023-000148,0,0,0
PED-2023-000149,0,0,0
PED-2023-000150,0,0,0
PED-2023-000151,0,0,0
PED-2023-000152,0,0,0
PED-2023-000153,0,0,0
PED-2023-000154,0,0,0
PED-2023-000155,0,0,0
PED-2023-000156,0,0,0
PED-2023-000157,0,0,0
PED-2023-000158,0,0,0
PED-2023-000159,0,0,0
PED-2023-000160,0,0,0
PED-2023-000161,0,0,0
PED-2023-000162,0,0,0
PED-2023-000163,0,0,0
PED-2023-000164,0,0,0
PED-2023-000165,0,0,0
PED-2023-000166,0,0,0
PED-2023-000167,0,0,0
PED-2023-000168,0,0,0
PED-2023-000169,0,0,0
PED-2023-000170,0,0,0
PED-2023-000171,0,0,0
PED-2023-000172,0,0,0
PED-2023-000173,0,0,0
PED-2023-000174,0,0,0
PED-2023-000175,0,0,0
PED-2023-000176,0,0,0
PED-2023-000177,0,0,0
PED-2023-000178,0,0,0
PED-2023-000179,0,0,0
PED-2023-000180,0,0,0
PED-2023-000181,0,0,0
PED-2023-000182,0,0,0
PED-2023-000183,0,0,0
PED-2023-000184,0,0,0
PED-2023-000185,0,0,0
PED-2023-000186,0,0,0
PED-2023-000187,0,0,0
PED-2023-000188,0,0,0
PED-2023-000189,0,0,0
PED-2023-000190,0,0,0
PED-2023-000191,0,0,0
PED-2023-000192,0,0,0
PED-2023-000193,0,0,0
PED-2023-000194,0,0,0
PED-2023-000195,0,0,0
PED-2023-000196,0,0,0
PED-2023-000197,0,0,0
PED-2023-000198,0,0,0
PED-2023-000199,0,0,0
