codigo_cliente,ultima_compra_civil,dias_civis_sem_compra
CLI-00000847,2023-01-01,1095
CLI-00000994,2023-01-02,1094
CLI-00000034,2023-01-03,1093
CLI-00000103,2023-01-03,1093
CLI-00000877,2023-01-03,1093
CLI-00000508,2023-01-05,1091
CLI-00001045,2023-01-08,1088
CLI-00000537,2023-01-09,1087
CLI-00000943,2023-01-09,1087
CLI-00000647,2023-01-10,1086
CLI-00000886,2023-01-10,1086
CLI-00000127,2023-01-11,1085
CLI-00000813,2023-01-12,1084
CLI-00000414,2023-01-13,1083
CLI-00000124,2023-01-14,1082
CLI-00000051,2023-01-16,1080
CLI-00000066,2023-01-16,1080
CLI-00000373,2023-01-18,1078
CLI-00000122,2023-01-20,1076
CLI-00000777,2023-01-20,1076
CLI-00000286,2023-01-22,1074
CLI-00000213,2023-01-23,1073
CLI-00000842,2023-01-23,1073
CLI-00000677,2023-01-24,1072
CLI-00000391,2023-01-25,1071
CLI-00000918,2023-01-26,1070
CLI-00000992,2023-01-27,1069
CLI-00000489,2023-01-28,1068
CLI-00000173,2023-02-02,1063
CLI-00000858,2023-02-03,1062
CLI-00000993,2023-02-04,1061
CLI-00000629,2023-02-05,1060
CLI-00000189,2023-02-06,1059
CLI-00000093,2023-02-08,1057
CLI-00000498,2023-02-08,1057
CLI-00000417,2023-02-09,1056
CLI-00001152,2023-02-09,1056
CLI-00000988,2023-02-10,1055
CLI-00000695,2023-02-12,1053
CLI-00000257,2023-02-15,1050
CLI-00000624,2023-02-15,1050
CLI-00000969,2023-02-15,1050
CLI-00000789,2023-02-17,1048
CLI-00000933,2023-02-17,1048
CLI-00000722,2023-02-19,1046
CLI-00000097,2023-02-21,1044
CLI-00000934,2023-02-25,1040
CLI-00000048,2023-02-26,1039
CLI-00000342,2023-02-26,1039
CLI-00000980,2023-02-28,1037
CLI-00000938,2023-03-02,1035
CLI-00000975,2023-03-03,1034
CLI-00000259,2023-03-04,1033
CLI-00000890,2023-03-04,1033
CLI-00000106,2023-03-05,1032
CLI-00000828,2023-03-05,1032
CLI-00001058,2023-03-06,1031
CLI-00001018,2023-03-08,1029
CLI-00001008,2023-03-09,1028
CLI-00001099,2023-03-10,1027
CLI-00000334,2023-03-11,1026
CLI-00000178,2023-03-15,1022
CLI-00000880,2023-03-16,1021
CLI-00000010,2023-03-19,1018
CLI-00000343,2023-03-21,1016
CLI-00000410,2023-03-21,1016
CLI-00000810,2023-03-22,1015
CLI-00001126,2023-03-24,1013
CLI-00000573,2023-03-25,1012
CLI-00000741,2023-03-27,1010
CLI-00000913,2023-03-27,1010
CLI-00000951,2023-03-28,1009
CLI-00000667,2023-04-01,1005
CLI-00000940,2023-04-01,1005
CLI-00000148,2023-04-02,1004
CLI-00000126,2023-04-03,1003
CLI-00001153,2023-04-03,1003
CLI-00000603,2023-04-06,1000
CLI-00000831,2023-04-06,1000
CLI-00000405,2023-04-07,999
CLI-00000278,2023-04-10,996
CLI-00000843,2023-04-12,994
CLI-00000908,2023-04-13,993
CLI-00000998,2023-04-16,990
CLI-00000098,2023-04-19,987
CLI-00000294,2023-04-24,982
CLI-00000229,2023-04-28,978
CLI-00000246,2023-04-28,978
CLI-00000660,2023-04-28,978
CLI-00000770,2023-04-28,978
CLI-00001785,2023-05-01,975
CLI-00000613,2023-05-07,969
CLI-00001162,2023-05-09,967
CLI-00000529,2023-05-12,964
CLI-00001053,2023-05-13,963
CLI-00001258,2023-05-14,962
CLI-00000889,2023-05-15,961
CLI-00000935,2023-05-15,961
CLI-00000105,2023-05-17,959
CLI-00000297,2023-05-21,955
CLI-00000277,2023-05-23,953
CLI-00000396,2023-05-26,950
CLI-00001101,2023-05-28,948
CLI-00000308,2023-06-03,942
CLI-00000565,2023-06-04,941
CLI-00001522,2023-06-04,941
CLI-00000767,2023-06-05,940
CLI-00001169,2023-06-07,938
CLI-00000203,2023-06-09,936
CLI-00000225,2023-06-09,936
CLI-00000604,2023-06-09,936
CLI-00001731,2023-06-10,935
CLI-00000580,2023-06-13,932
CLI-00000121,2023-06-14,931
CLI-00000597,2023-06-14,931
CLI-00000638,2023-06-19,926
CLI-00001080,2023-06-21,924
CLI-00000675,2023-06-22,923
CLI-00000049,2023-06-23,922
CLI-00001057,2023-06-27,918
CLI-00000186,2023-06-28,917
CLI-00000446,2023-06-28,917
CLI-00000905,2023-07-01,914
CLI-00000964,2023-07-04,911
CLI-00000079,2023-07-05,910
CLI-00000303,2023-07-06,909
CLI-00001149,2023-07-07,908
CLI-00000713,2023-07-08,907
CLI-00001004,2023-07-13,902
CLI-00000224,2023-07-14,901
CLI-00000497,2023-07-14,901
CLI-00000776,2023-07-16,899
CLI-00000743,2023-07-17,898
CLI-00001037,2023-07-17,898
CLI-00001491,2023-07-18,897
CLI-00000056,2023-07-19,896
CLI-00000282,2023-07-20,895
CLI-00000865,2023-07-21,894
CLI-00000154,2023-07-22,893
CLI-00000022,2023-07-23,892
CLI-00000809,2023-07-23,892
CLI-00000939,2023-08-02,882
CLI-00000276,2023-08-03,881
CLI-00000572,2023-08-05,879
CLI-00001658,2023-08-05,879
CLI-00000955,2023-08-08,876
CLI-00000420,2023-08-09,875
CLI-00000978,2023-08-09,875
CLI-00000622,2023-08-11,873
CLI-00001115,2023-08-14,870
CLI-00000314,2023-08-15,869
CLI-00001815,2023-08-17,867
CLI-00000997,2023-08-20,864
CLI-00000309,2023-08-21,863
CLI-00000460,2023-08-21,863
CLI-00000040,2023-08-22,862
CLI-00001848,2023-08-24,860
CLI-00000041,2023-08-27,857
CLI-00002056,2023-08-27,857
CLI-00000090,2023-09-01,852
CLI-00000084,2023-09-03,850
CLI-00001968,2023-09-03,850
CLI-00000651,2023-09-04,849
CLI-00001853,2023-09-04,849
CLI-00000556,2023-09-06,847
CLI-00000107,2023-09-07,846
CLI-00001877,2023-09-08,845
CLI-00000112,2023-09-13,840
CLI-00001011,2023-09-14,839
CLI-00000546,2023-09-16,837
CLI-00000720,2023-09-16,837
CLI-00000823,2023-09-16,837
CLI-00001320,2023-09-17,836
CLI-00001161,2023-09-19,834
CLI-00000199,2023-09-22,831
CLI-00001142,2023-09-22,831
CLI-00000915,2023-09-23,830
CLI-00000874,2023-09-25,828
CLI-00000211,2023-09-26,827
CLI-00000524,2023-10-04,819
CLI-00000340,2023-10-06,817
CLI-00000398,2023-10-06,817
CLI-00000081,2023-10-07,816
CLI-00000065,2023-10-09,814
CLI-00001135,2023-10-10,813
CLI-00000641,2023-10-11,812
CLI-00000844,2023-10-11,812
CLI-00000518,2023-10-12,811
CLI-00001833,2023-10-12,811
CLI-00001466,2023-10-14,809
CLI-00000288,2023-10-16,807
CLI-00000670,2023-10-17,806
CLI-00000042,2023-10-18,805
CLI-00000892,2023-10-18,805
CLI-00001356,2023-10-20,803
CLI-00000366,2023-10-21,802
CLI-00001918,2023-10-24,799
CLI-00001923,2023-10-24,799
CLI-00000502,2023-10-26,797
CLI-00000995,2023-10-26,797
CLI-00000931,2023-11-01,791
CLI-00000069,2023-11-02,790
CLI-00000188,2023-11-02,790
CLI-00000991,2023-11-02,790
CLI-00001147,2023-11-02,790
CLI-00001276,2023-11-02,790
CLI-00000001,2023-11-03,789
CLI-00000009,2023-11-03,789
CLI-00000543,2023-11-03,789
CLI-00001599,2023-11-03,789
CLI-00000025,2023-11-05,787
CLI-00000987,2023-11-05,787
CLI-00000402,2023-11-06,786
CLI-00000595,2023-11-06,786
CLI-00001168,2023-11-07,785
CLI-00001528,2023-11-07,785
CLI-00000035,2023-11-08,784
CLI-00000185,2023-11-09,783
CLI-00000267,2023-11-10,782
CLI-00000567,2023-11-10,782
CLI-00000715,2023-11-10,782
CLI-00000952,2023-11-10,782
CLI-00000568,2023-11-11,781
CLI-00000718,2023-11-11,781
CLI-00001614,2023-11-11,781
CLI-00000527,2023-11-12,780
CLI-00000393,2023-11-13,779
CLI-00000159,2023-11-14,778
CLI-00000794,2023-11-15,777
CLI-00000133,2023-11-17,775
CLI-00000724,2023-11-17,775
CLI-00001111,2023-11-17,775
CLI-00001345,2023-11-20,772
CLI-00000191,2023-11-21,771
CLI-00000618,2023-11-21,771
CLI-00000899,2023-11-21,771
CLI-00000382,2023-11-22,770
CLI-00000461,2023-11-22,770
CLI-00000834,2023-11-22,770
CLI-00000111,2023-11-23,769
CLI-00000100,2023-11-24,768
CLI-00000331,2023-11-24,768
CLI-00001364,2023-11-25,767
CLI-00001375,2023-11-25,767
CLI-00000298,2023-11-26,766
CLI-00000264,2023-11-27,765
CLI-00000332,2023-11-27,765
CLI-00001618,2023-11-27,765
CLI-00001198,2023-11-28,764
CLI-00001264,2023-11-28,764
CLI-00000053,2023-12-03,759
CLI-00000982,2023-12-03,759
CLI-00000981,2023-12-04,758
CLI-00000242,2023-12-05,757
CLI-00002014,2023-12-06,756
CLI-00000310,2023-12-07,755
CLI-00000747,2023-12-11,751
CLI-00000990,2023-12-11,751
CLI-00001069,2023-12-11,751
CLI-00000346,2023-12-12,750
CLI-00000293,2023-12-13,749
CLI-00002006,2023-12-13,749
CLI-00000037,2023-12-14,748
CLI-00000360,2023-12-14,748
CLI-00000942,2023-12-15,747
