mes,receita_mercadoria_pos_devolucao
2023-01-01,285212.82
2023-02-01,288690.61
2023-03-01,289264.55
2023-04-01,288478.39
2023-05-01,286231.87
2023-06-01,285226.27
2023-07-01,285028.56
2023-08-01,288713.09
2023-09-01,288130.47
2023-10-01,287677.69
2023-11-01,575990.00
2023-12-01,291755.13
2024-01-01,235398.92
2024-02-01,237789.26
2024-03-01,233266.02
2024-04-01,274145.90
2024-05-01,277248.40
2024-06-01,273336.72
2024-07-01,276005.81
2024-08-01,274910.67
2024-09-01,281398.30
2024-10-01,284749.23
2024-11-01,516017.34
2024-12-01,275805.45
2025-01-01,308712.88
2025-02-01,310171.06
2025-03-01,303277.46
2025-04-01,305135.15
2025-05-01,307896.43
2025-06-01,308491.04
2025-07-01,310517.90
2025-08-01,307977.30
2025-09-01,308085.51
2025-10-01,311227.33
2025-11-01,618095.99
2025-12-01,307794.58
