sku,receita_mercadoria_pos_devolucao,custo_mercadoria_mantida,margem_mercadoria,quantidade_linhas_margem_unitaria_negativa,valor_margem_original_negativa
AUR-00000106,216888.90,122571.99,94316.91,0,0
AUR-00000098,204161.36,114978.82,89182.54,0,0
AUR-00000112,201822.49,113714.35,88108.14,0,0
AUR-00000104,190902.68,107853.28,83049.40,0,0
AUR-00000090,189664.38,108144.17,81520.21,0,0
AUR-00000107,183356.93,105627.10,77729.83,0,0
AUR-00000096,177205.41,99942.39,77263.02,0,0
AUR-00000082,176013.21,99983.21,76030.00,0,0
AUR-00000110,174096.63,99304.62,74792.01,0,0
AUR-00000099,170890.71,98671.97,72218.74,0,0
AUR-00000088,165361.79,93613.94,71747.85,0,0
AUR-00000102,163504.15,92625.54,70878.61,0,0
AUR-00000074,163098.81,93036.84,70061.97,0,0
AUR-00000091,159876.53,92176.35,67700.18,0,0
AUR-00000080,155172.38,87609.85,67562.53,0,0
AUR-00000105,155092.79,88772.11,66320.68,0,0
AUR-00000094,152765.15,87054.36,65710.79,0,0
AUR-00000066,150093.06,85849.22,64243.84,0,0
AUR-00000083,150121.41,85984.73,64136.68,0,0
AUR-00000097,147001.89,84015.68,62986.21,0,0
AUR-00000108,146337.91,83502.05,62835.86,0,0
AUR-00000086,142640.11,80900.00,61740.11,0,0
AUR-00000072,141319.35,80384.04,60935.31,0,0
AUR-00000100,137374.20,77461.28,59912.92,0,0
AUR-00000111,138702.27,79962.71,58739.56,0,0
AUR-00000089,137103.58,78415.74,58687.84,0,0
AUR-00000075,137232.19,78655.64,58576.55,0,0
AUR-00000058,135738.52,77594.00,58144.52,0,0
AUR-00000078,132099.32,75081.86,57017.46,0,0
AUR-00000064,130126.50,74033.52,56092.98,0,0
AUR-00000092,129436.52,73358.99,56077.53,0,0
AUR-00000103,129403.34,74430.34,54973.00,0,0
AUR-00000081,125888.03,71453.75,54434.28,0,0
AUR-00000067,126092.73,71806.79,54285.94,0,0
AUR-00000050,122816.28,70109.60,52706.68,0,0
AUR-00000084,119329.72,67376.63,51953.09,0,0
AUR-00000070,121085.58,69394.13,51691.45,0,0
AUR-00000095,121395.02,69773.58,51621.44,0,0
AUR-00000056,117954.07,67034.71,50919.36,0,0
AUR-00000073,117139.56,66723.80,50415.76,0,0
AUR-00000059,115248.53,65657.84,49590.69,0,0
AUR-00000087,113170.65,64802.49,48368.16,0,0
AUR-00000076,110985.66,62924.92,48060.74,0,0
AUR-00000062,111660.47,63680.62,47979.85,0,0
AUR-00000109,110925.89,63022.24,47903.65,0,0
AUR-00000065,107437.86,60794.30,46643.56,0,0
AUR-00000042,108447.13,61881.66,46565.47,0,0
AUR-00000048,105787.87,60099.41,45688.46,0,0
AUR-00000101,104937.85,59656.89,45280.96,0,0
AUR-00000051,104046.37,59134.48,44911.89,0,0
AUR-00000079,104620.79,59863.51,44757.28,0,0
AUR-00000068,102094.84,57885.95,44208.89,0,0
AUR-00000054,100723.07,57380.24,43342.83,0,0
AUR-00000057,97228.79,54865.18,42363.61,0,0
AUR-00000093,97043.65,55246.18,41797.47,0,0
AUR-00000071,96669.22,55483.02,41186.20,0,0
AUR-00000034,95081.55,54083.66,40997.89,0,0
AUR-00000040,93856.64,53214.10,40642.54,0,0
AUR-00000060,92475.24,52599.29,39875.95,0,0
AUR-00000043,92059.39,52271.76,39787.63,0,0
AUR-00000085,90441.04,51258.88,39182.16,0,0
AUR-00000063,88792.43,50443.25,38349.18,0,0
AUR-00000046,89486.48,51174.87,38311.61,0,0
AUR-00000049,87579.18,49589.72,37989.46,0,0
AUR-00000077,84817.99,47911.29,36906.70,0,0
AUR-00000052,83666.16,47677.92,35988.24,0,0
AUR-00000032,81480.57,46116.78,35363.79,0,0
AUR-00000026,81711.62,46382.34,35329.28,0,0
AUR-00000035,81229.64,46246.53,34983.11,0,0
AUR-00000055,79782.92,45602.58,34180.34,0,0
AUR-00000038,79395.07,45313.07,34082.00,0,0
AUR-00000041,77584.92,43677.50,33907.42,0,0
AUR-00000069,76892.37,43820.15,33072.22,0,0
AUR-00000044,74450.74,42253.04,32197.70,0,0
AUR-00000047,71956.05,40832.06,31123.99,0,0
AUR-00000061,70670.19,39816.68,30853.51,0,0
AUR-00000024,69220.08,39102.11,30117.97,0,0
AUR-00000027,69388.40,39482.16,29906.24,0,0
AUR-00000030,68299.86,38859.30,29440.56,0,0
AUR-00000033,67550.39,38288.47,29261.92,0,0
AUR-00000018,67742.79,38558.82,29183.97,0,0
AUR-00000036,65103.26,36920.11,28183.15,0,0
AUR-00000053,63623.70,36108.23,27515.47,0,0
AUR-00000039,63232.95,35988.60,27244.35,0,0
AUR-00000025,57967.55,32757.73,25209.82,0,0
AUR-00000022,57940.96,32954.12,24986.84,0,0
AUR-00000016,57453.89,32509.72,24944.17,0,0
AUR-00000045,56787.13,31989.13,24798.00,0,0
AUR-00000019,58035.03,33375.28,24659.75,0,0
AUR-00000028,56582.96,32087.88,24495.08,0,0
AUR-00000031,54998.80,31311.48,23687.32,0,0
AUR-00000010,54276.98,30714.19,23562.79,0,0
AUR-00000037,50194.50,28375.22,21819.28,0,0
AUR-00000020,47383.70,26830.36,20553.34,0,0
AUR-00000017,47880.24,27329.28,20550.96,0,0
AUR-00000014,47528.00,27210.58,20317.42,0,0
AUR-00000023,46899.71,26727.33,20172.38,0,0
AUR-00000011,46863.41,26930.37,19933.04,0,0
AUR-00000008,45168.35,25433.66,19734.69,0,0
AUR-00000029,43202.52,24341.51,18861.01,0,0
AUR-00000002,40755.80,23065.68,17690.12,0,0
AUR-00000012,38195.99,21676.27,16519.72,0,0
AUR-00000015,38234.82,21933.75,16301.07,0,0
AUR-00000009,38005.75,21729.60,16276.15,0,0
AUR-00000006,36658.04,20800.61,15857.43,0,0
AUR-00000021,36282.87,20513.86,15769.01,0,0
AUR-00000003,35314.34,20358.40,14955.94,0,0
AUR-00000013,29769.28,16945.32,12823.96,0,0
AUR-00000004,29391.27,16577.14,12814.13,0,0
AUR-00000007,30025.64,17272.26,12753.38,0,0
AUR-00000001,28308.55,16178.34,12130.21,0,0
AUR-00000005,22842.30,12983.20,9859.10,0,0
AUR-00000113,0,0,0,0,0
AUR-00000114,0,0,0,0,0
AUR-00000115,0,0,0,0,0
AUR-00000116,0,0,0,0,0
AUR-00000117,0,0,0,0,0
AUR-00000118,0,0,0,0,0
AUR-00000119,0,0,0,0,0
AUR-00000120,0,0,0,0,0
