categoria_id,categoria,produto_id,sku,receita,posicao
1,Cozinha,105,AUR-00000105,157796.16,1
1,Cozinha,97,AUR-00000097,149803.65,2
1,Cozinha,89,AUR-00000089,138812.82,3
1,Cozinha,81,AUR-00000081,128122.41,4
1,Cozinha,73,AUR-00000073,118784.19,5
1,Cozinha,65,AUR-00000065,108771.24,6
1,Cozinha,57,AUR-00000057,98920.41,7
1,Cozinha,49,AUR-00000049,88832.16,8
1,Cozinha,41,AUR-00000041,78756.87,9
1,Cozinha,33,AUR-00000033,68716.17,10
1,Cozinha,25,AUR-00000025,58703.22,11
1,Cozinha,17,AUR-00000017,48690.27,12
1,Cozinha,9,AUR-00000009,38676.78,13
1,Cozinha,1,AUR-00000001,28663.05,14
1,Cozinha,113,AUR-00000113,0,15
2,Mesa,106,AUR-00000106,221129.26,1
2,Mesa,98,AUR-00000098,207298.82,2
2,Mesa,90,AUR-00000090,192393.12,3
2,Mesa,82,AUR-00000082,179635.78,4
2,Mesa,74,AUR-00000074,165805.34,5
2,Mesa,66,AUR-00000066,152140.22,6
2,Mesa,58,AUR-00000058,138217.80,7
2,Mesa,50,AUR-00000050,124480.96,8
2,Mesa,42,AUR-00000042,110478.18,9
2,Mesa,34,AUR-00000034,96728.10,10
2,Mesa,26,AUR-00000026,82837.02,11
2,Mesa,18,AUR-00000018,68983.62,12
2,Mesa,10,AUR-00000010,55151.02,13
2,Mesa,2,AUR-00000002,41320.58,14
2,Mesa,114,AUR-00000114,0,15
3,Organização,107,AUR-00000107,185679.19,1
3,Organização,99,AUR-00000099,172828.59,2
3,Organização,91,AUR-00000091,162629.66,3
3,Organização,83,AUR-00000083,152255.55,4
3,Organização,75,AUR-00000075,138679.18,5
3,Organização,67,AUR-00000067,128108.37,6
3,Organização,59,AUR-00000059,116534.17,7
3,Organização,51,AUR-00000051,105169.96,8
3,Organização,43,AUR-00000043,93557.53,9
3,Organização,35,AUR-00000035,82118.28,10
3,Organização,27,AUR-00000027,70440.27,11
3,Organização,19,AUR-00000019,58914.71,12
3,Organização,11,AUR-00000011,47390.74,13
3,Organização,3,AUR-00000003,35866.95,14
3,Organização,115,AUR-00000115,0,15
4,Limpeza,108,AUR-00000108,150226.35,1
4,Limpeza,100,AUR-00000100,141307.05,2
4,Limpeza,92,AUR-00000092,131878.64,3
4,Limpeza,84,AUR-00000084,122485.21,4
4,Limpeza,76,AUR-00000076,113352.94,5
4,Limpeza,68,AUR-00000068,104090.09,6
4,Limpeza,60,AUR-00000060,94842.66,7
4,Limpeza,52,AUR-00000052,85569.48,8
4,Limpeza,44,AUR-00000044,76319.62,9
4,Limpeza,36,AUR-00000036,67038.72,10
4,Limpeza,28,AUR-00000028,57775.87,11
4,Limpeza,20,AUR-00000020,48525.96,12
