mes,receita,media_movel_3m,meses_na_janela
2023-01-01,285212.82,285212.820000000000,1
2023-02-01,288690.61,286951.715000000000,2
2023-03-01,289264.55,287722.660000000000,3
2023-04-01,288478.39,288811.183333333333,3
2023-05-01,286231.87,287991.603333333333,3
2023-06-01,285226.27,286645.510000000000,3
2023-07-01,285028.56,285495.566666666667,3
2023-08-01,288713.09,286322.640000000000,3
2023-09-01,288130.47,287290.706666666667,3
2023-10-01,287677.69,288173.750000000000,3
2023-11-01,575990.00,383932.720000000000,3
2023-12-01,291755.13,385140.940000000000,3
2024-01-01,250772.04,372839.056666666667,3
2024-02-01,254001.87,265509.680000000000,3
2024-03-01,249573.17,251449.026666666667,3
2024-04-01,289073.66,264216.233333333333,3
2024-05-01,292426.55,277024.460000000000,3
2024-06-01,287581.05,289693.753333333333,3
2024-07-01,291972.07,290659.890000000000,3
2024-08-01,292021.20,290524.773333333333,3
2024-09-01,297449.52,293814.263333333333,3
2024-10-01,300196.52,296555.746666666667,3
2024-11-01,549119.41,382255.150000000000,3
2024-12-01,291883.94,380399.956666666667,3
2025-01-01,308712.88,383238.743333333333,3
2025-02-01,310171.06,303589.293333333333,3
2025-03-01,303277.46,307387.133333333333,3
2025-04-01,305135.15,306194.556666666667,3
2025-05-01,307896.43,305436.346666666667,3
2025-06-01,308491.04,307174.206666666667,3
2025-07-01,310517.90,308968.456666666667,3
2025-08-01,307977.30,308995.413333333333,3
2025-09-01,308085.51,308860.236666666667,3
2025-10-01,311227.33,309096.713333333333,3
2025-11-01,618095.99,412469.610000000000,3
2025-12-01,307794.58,412372.633333333333,3
