mes,receita_convidado,receita_primeira_compra,receita_recorrente,receita_total,pct_convidado,pct_primeira_compra,pct_recorrente
2023-01-01,62680.11,217462.67,5070.04,285212.82,21.9766103080499677,76.2457557132249525,1.7776339787250797
2023-02-01,64140.30,212767.88,11782.43,288690.61,22.2176606298348256,73.7010046845652514,4.0813346855999230
2023-03-01,61225.96,214869.31,13169.28,289264.55,21.1660779034278483,74.2812453167870035,4.5526767797851482
2023-04-01,64107.48,193160.95,31209.96,288478.39,22.2226281836916796,66.9585510373931302,10.8188207789151901
2023-05-01,62444.73,162691.94,61095.20,286231.87,21.8161345904633191,56.8392122093182705,21.3446532002184103
2023-06-01,60782.64,166182.51,58261.12,285226.27,21.3103232041003797,58.2633955841444759,20.4262812117551444
2023-07-01,63706.59,162045.49,59276.48,285028.56,22.3509496732537960,56.8523694608007001,20.7966808659455038
2023-08-01,63534.75,152184.75,72993.59,288713.09,22.0061896050504672,52.7114132580549084,25.2823971368946243
2023-09-01,61773.57,153179.35,73177.55,288130.47,21.4394437353328164,53.1631902727955152,25.3973659918716684
2023-10-01,64524.05,146065.71,77087.93,287677.69,22.4292853575124300,50.7740833152546518,26.7966313272329182
2023-11-01,122803.61,276434.96,176751.43,575990.00,21.3204413271063734,47.9930137676001319,30.6865449052934947
2023-12-01,62876.37,123054.41,105824.35,291755.13,21.5510760684824976,42.1772909357240779,36.2716329957934244
2024-01-01,0,123782.27,126989.77,250772.04,0.000000000000000000000000,49.3604749556609262,50.6395250443390738
2024-02-01,0,118221.44,135780.43,254001.87,0.000000000000000000000000,46.5435313527416156,53.4564686472583844
2024-03-01,0,102786.62,146786.55,249573.17,0.000000000000000000000000,41.1849639125872384,58.8150360874127616
2024-04-01,0,108207.50,180866.16,289073.66,0.000000000000000000000000,37.4325007681433168,62.5674992318566832
2024-05-01,0,123390.71,169035.84,292426.55,0.000000000000000000000000,42.1954538669624902,57.8045461330375098
2024-06-01,0,105831.00,181750.05,287581.05,0.000000000000000000000000,36.8004080936487296,63.1995919063512704
2024-07-01,0,93583.90,198388.17,291972.07,0.000000000000000000000000,32.0523466508286221,67.9476533491713779
2024-08-01,0,83634.62,208386.58,292021.20,0.000000000000000000000000,28.6399138144764832,71.3600861855235168
2024-09-01,0,92697.54,204751.98,297449.52,0.000000000000000000000000,31.1641249244577702,68.8358750755422298
2024-10-01,0,70213.58,229982.94,300196.52,0.000000000000000000000000,23.3892051779947349,76.6107948220052651
2024-11-01,0,122657.90,426461.51,549119.41,0.000000000000000000000000,22.3371998451120131,77.6628001548879869
2024-12-01,0,71520.88,220363.06,291883.94,0.000000000000000000000000,24.5031912341597143,75.4968087658402857
2025-01-01,0,61939.74,246773.14,308712.88,0.000000000000000000000000,20.0638664638806130,79.9361335361193870
2025-02-01,0,45600.25,264570.81,310171.06,0.000000000000000000000000,14.7016456016238265,85.2983543983761735
2025-03-01,0,56160.84,247116.62,303277.46,0.000000000000000000000000,18.5179736074022778,81.4820263925977222
2025-04-01,0,44576.89,260558.26,305135.15,0.000000000000000000000000,14.6089003512050316,85.3910996487949684
2025-05-01,0,44941.35,262955.08,307896.43,0.000000000000000000000000,14.5962556305053618,85.4037443694946382
2025-06-01,0,53645.66,254845.38,308491.04,0.000000000000000000000000,17.3896979309350443,82.6103020690649557
2025-07-01,0,51620.02,258897.88,310517.90,0.000000000000000000000000,16.6238468056108843,83.3761531943891157
2025-08-01,0,41271.66,266705.64,307977.30,0.000000000000000000000000,13.4008772724483265,86.5991227275516735
2025-09-01,0,32965.61,275119.90,308085.51,0.000000000000000000000000,10.7001494487682981,89.2998505512317019
2025-10-01,0,39630.55,271596.78,311227.33,0.000000000000000000000000,12.7336342859092741,87.2663657140907259
2025-11-01,0,82854.76,535241.23,618095.99,0.000000000000000000000000,13.4048370059802524,86.5951629940197476
2025-12-01,0,39138.71,268655.87,307794.58,0.000000000000000000000000,12.7158541908047894,87.2841458091952106
