mes,canal,categoria,receita,receita_anterior,margem,margem_anterior,queda_receita_abs,queda_margem_abs,queda_receita_pct,queda_margem_pct,score_investigacao
2024-11-01,MARKETPLACE,Organização,14116.26,49946.80,6221.83,22115.28,35830.54,15893.45,71.7374086027533295,71.8663747418074743,51723.99
2024-11-01,LOJA_CURITIBA,Organização,8112.57,31278.56,3557.59,13028.96,23165.99,9471.37,74.0634799044457290,72.6947507705910525,32637.36
2024-11-01,MARKETPLACE,Cozinha,13532.52,35809.68,5986.17,15396.42,22277.16,9410.25,62.2098829143404800,61.1197278328338666,31687.41
2024-11-01,MARKETPLACE,Mesa,23142.18,42762.02,10252.99,18322.64,19619.84,8069.65,45.8814621011823108,44.0419612020975143,27689.49
2024-08-01,MARKETPLACE,Organização,7260.70,24723.68,2789.67,10557.68,17462.98,7768.01,70.6326080907049436,73.5768653719377742,25230.99
2024-12-01,MARKETPLACE,Organização,6994.03,24470.88,2963.30,10525.20,17476.85,7561.90,71.4189681776871122,71.8456656405578991,25038.75
2024-10-01,MARKETPLACE,Organização,6916.89,24401.84,3061.71,10564.16,17484.95,7502.45,71.6542277139756674,71.0179512616242086,24987.40
2024-03-01,MARKETPLACE,Organização,6410.49,23906.80,2558.49,9899.28,17496.31,7340.79,73.1854953402379239,74.1547870148131985,24837.10
2024-05-01,MARKETPLACE,Organização,6793.47,23988.56,3003.16,10644.00,17195.09,7640.84,71.6803759792167600,71.7854190154077415,24835.93
2024-04-01,MARKETPLACE,Organização,7230.61,24197.76,2916.59,10405.28,16967.15,7488.69,70.1186804067814542,71.9700959512862700,24455.84
2024-02-01,MARKETPLACE,Organização,6939.48,23827.12,3098.09,10460.56,16887.64,7362.47,70.8757080167473031,70.3831343637434325,24250.11
2024-09-01,MARKETPLACE,Organização,7071.94,23379.84,3254.36,10030.16,16307.90,6775.80,69.7519743505515863,67.5542563628097657,23083.70
2024-06-01,MARKETPLACE,Organização,6670.41,22718.80,2937.76,9492.80,16048.39,6555.04,70.6392503125165062,69.0527557727962245,22603.43
2024-07-01,MARKETPLACE,Organização,7519.22,23206.80,3289.05,10086.24,15687.58,6797.19,67.5990657910612407,67.3907224099367058,22484.77
2024-11-01,TELEVENDAS,Organização,6051.97,21525.52,2607.63,9232.00,15473.55,6624.37,71.8846745630303008,71.7544410745233969,22097.92
2024-01-01,MARKETPLACE,Organização,7806.53,23023.68,3229.32,9780.72,15217.15,6551.40,66.0934741970006532,66.9827988123573725,21768.55
2024-11-01,LOJA_CURITIBA,Cozinha,7740.49,21041.10,3133.15,8697.78,13300.61,5564.63,63.2125221590125992,63.9775896838043731,18865.24
2024-04-01,MARKETPLACE,Cozinha,6866.92,18833.94,2879.30,8391.54,11967.02,5512.24,63.5396523510216131,65.6880620243721653,17479.26
2024-09-01,MARKETPLACE,Cozinha,7037.55,18771.90,2791.23,8214.48,11734.35,5423.25,62.5101881002988509,66.0206123820375727,17157.60
2024-03-01,LOJA_CURITIBA,Organização,3747.78,15622.40,1589.88,6340.00,11874.62,4750.12,76.0102160999590332,74.9230283911671924,16624.74
